file,WER,S,D,I
Rhap-D0002.wav,19.754464,87,64,26
Rhap-D0003.wav,26.105263,137,78,33
Rhap-D0004.wav,21.004566,127,57,46
Rhap-D0005.wav,36.991369,161,80,59
Rhap-D0006.wav,22.261174,115,118,21
Rhap-D0007.wav,35.507246,29,14,6
Rhap-D0008.wav,28.767123,69,40,59
Rhap-D0009.wav,52.667313,324,106,113
Rhap-D0017.wav,19.444444,15,6,0
Rhap-D0020.wav,19.417476,10,2,8
Rhap-D1001.wav,30.595238,88,39,130
Rhap-D1002.wav,18.458418,53,27,11
Rhap-D2001.wav,16.060606,215,67,36
Rhap-D2002.wav,25.330396,139,66,25
Rhap-D2003.wav,35.112782,343,67,57
Rhap-D2004.wav,22.773537,99,30,50
Rhap-D2005.wav,12.916667,72,19,33
Rhap-D2006.wav,12.605042,23,4,3
Rhap-D2007.wav,33.967936,226,93,20
Rhap-D2008.wav,21.687929,245,96,101
Rhap-D2009.wav,9.019608,48,22,22
Rhap-D2010.wav,29.428848,190,79,35
Rhap-D2011.wav,23.353293,128,37,69
Rhap-D2012.wav,26.180698,157,32,66
Rhap-D2013.wav,7.65625,40,5,4
Rhap-M0001.wav,24.637681,25,8,1
Rhap-M0002.wav,24.747475,32,6,11
Rhap-M0003.wav,20.496894,33,18,15
Rhap-M0004.wav,42.222222,16,3,0
Rhap-M0005.wav,32.539683,16,10,15
Rhap-M0006.wav,28.421053,13,8,6
Rhap-M0007.wav,26.162791,22,14,9
Rhap-M0008.wav,24.074074,3,5,5
Rhap-M0009.wav,39.705882,54,16,11
Rhap-M0010.wav,43.548387,22,5,0
Rhap-M0011.wav,21.019108,22,6,5
Rhap-M0012.wav,12.0,3,0,3
Rhap-M0013.wav,23.295455,28,4,9
Rhap-M0014.wav,29.87013,6,7,10
Rhap-M0015.wav,29.113924,18,4,1
Rhap-M0016.wav,24.472574,38,9,11
Rhap-M0018.wav,25.306122,28,15,19
Rhap-M0019.wav,27.12766,24,13,14
Rhap-M0021.wav,33.136095,30,1,25
Rhap-M0022.wav,17.410714,18,14,7
Rhap-M0023.wav,30.3125,47,37,13
Rhap-M0024.wav,25.954198,16,5,13
Rhap-M1001.wav,19.582245,49,21,5
Rhap-M1003.wav,13.771712,73,20,18
Rhap-M2001.wav,6.35514,24,2,8
Rhap-M2002.wav,12.910619,105,43,21
Rhap-M2003.wav,5.37931,32,2,5
Rhap-M2004.wav,14.099217,51,6,105
Rhap-M2005.wav,15.759312,36,7,12
