file,WER,S,D,I
Rhap-D0005.wav,51.235231,189,283,5
Rhap-D0006.wav,44.066515,169,409,5
Rhap-D0007.wav,53.472222,36,40,1
Rhap-D0008.wav,35.454545,98,128,8
Rhap-D0009.wav,54.112903,314,344,13
Rhap-D0017.wav,20.0,9,12,1
Rhap-D0020.wav,26.923077,13,15,0
Rhap-D1001.wav,20.854022,95,105,10
Rhap-D1002.wav,32.860041,63,94,5
Rhap-D2001.wav,22.574158,217,213,19
Rhap-D2002.wav,43.311404,212,175,8
Rhap-D2003.wav,44.360902,356,194,40
Rhap-D2004.wav,45.10978,126,307,19
Rhap-D2005.wav,21.934197,109,100,11
Rhap-D2006.wav,17.647059,28,7,7
Rhap-D2007.wav,50.25025,266,227,9
Rhap-D2008.wav,25.65821,245,267,24
Rhap-D2009.wav,17.217899,90,79,8
Rhap-D2010.wav,37.985213,201,208,2
Rhap-D2011.wav,23.461538,149,79,16
Rhap-D2012.wav,26.479438,138,117,9
Rhap-D2013.wav,14.21875,69,18,4
Rhap-M0001.wav,26.811594,21,16,0
Rhap-M0002.wav,27.777778,25,29,1
Rhap-M0003.wav,29.532164,44,53,4
Rhap-M0004.wav,37.777778,13,4,0
Rhap-M0005.wav,21.985816,11,20,0
Rhap-M0006.wav,41.964286,22,24,1
Rhap-M0007.wav,29.142857,20,28,3
Rhap-M0008.wav,26.315789,3,12,0
Rhap-M0009.wav,39.069767,32,51,1
Rhap-M0010.wav,25.396825,9,7,0
Rhap-M0011.wav,30.188679,33,13,2
Rhap-M0012.wav,26.923077,8,6,0
Rhap-M0013.wav,23.295455,17,23,1
Rhap-M0014.wav,25.882353,11,8,3
Rhap-M0015.wav,37.974684,21,9,0
Rhap-M0016.wav,30.833333,28,40,6
Rhap-M0018.wav,22.568093,28,30,0
Rhap-M0019.wav,28.191489,16,35,2
Rhap-M0021.wav,21.348315,21,13,4
Rhap-M0022.wav,30.222222,30,35,3
Rhap-M0023.wav,45.0,57,85,2
Rhap-M0024.wav,21.212121,8,20,0
Rhap-M1001.wav,42.337662,82,76,5
Rhap-M1003.wav,22.167488,66,113,1
Rhap-M2001.wav,8.178439,30,12,2
Rhap-M2002.wav,20.855615,96,167,10
Rhap-M2003.wav,2.888583,18,2,1
Rhap-M2004.wav,6.976744,71,10,6
Rhap-M2005.wav,13.467049,24,21,2
