file,WER,S,D,I
Rhap-D0002.wav,33.705357,158,126,18
Rhap-D0003.wav,41.473684,208,172,14
Rhap-D0004.wav,38.90411,214,174,38
Rhap-D0005.wav,55.117139,248,172,27
Rhap-D0006.wav,44.872918,200,298,14
Rhap-D0007.wav,47.101449,37,26,2
Rhap-D0008.wav,44.520548,114,99,47
Rhap-D0009.wav,60.71775,370,200,56
Rhap-D0017.wav,21.296296,10,12,1
Rhap-D0020.wav,34.951456,17,17,2
Rhap-D1001.wav,33.809524,105,63,116
Rhap-D1002.wav,29.411765,69,67,9
Rhap-D2001.wav,27.121212,301,191,45
Rhap-D2002.wav,49.779736,267,176,9
Rhap-D2003.wav,48.270677,400,195,47
Rhap-D2004.wav,37.659033,169,97,30
Rhap-D2005.wav,24.0625,125,80,26
Rhap-D2006.wav,18.067227,30,4,9
Rhap-D2007.wav,52.905812,305,209,14
Rhap-D2008.wav,38.61629,390,273,124
Rhap-D2009.wav,24.509804,134,77,39
Rhap-D2010.wav,38.915779,228,155,19
Rhap-D2011.wav,36.327345,215,82,67
Rhap-D2012.wav,40.554415,214,114,67
Rhap-D2013.wav,25.3125,116,19,27
Rhap-M0001.wav,31.15942,22,21,0
Rhap-M0002.wav,31.313131,35,24,3
Rhap-M0003.wav,36.645963,50,51,17
Rhap-M0004.wav,40.0,14,4,0
Rhap-M0005.wav,35.714286,18,16,11
Rhap-M0006.wav,41.052632,16,15,8
Rhap-M0007.wav,30.232558,19,25,8
Rhap-M0008.wav,37.037037,3,13,4
Rhap-M0009.wav,47.54902,46,47,4
Rhap-M0010.wav,29.032258,10,7,1
Rhap-M0011.wav,26.11465,28,10,3
Rhap-M0012.wav,30.0,10,5,0
Rhap-M0013.wav,32.954545,27,26,5
Rhap-M0014.wav,32.467532,10,6,9
Rhap-M0015.wav,44.303797,25,6,4
Rhap-M0016.wav,37.974684,43,36,11
Rhap-M0018.wav,27.755102,34,21,13
Rhap-M0019.wav,39.361702,29,42,3
Rhap-M0021.wav,26.627219,18,13,14
Rhap-M0022.wav,33.928571,31,39,6
Rhap-M0023.wav,43.4375,54,80,5
Rhap-M0024.wav,29.770992,18,18,3
Rhap-M1001.wav,47.258486,96,76,9
Rhap-M1003.wav,30.521092,135,94,17
Rhap-M2001.wav,6.542056,24,7,4
Rhap-M2002.wav,27.654698,186,151,25
Rhap-M2003.wav,4.965517,25,4,7
Rhap-M2004.wav,14.273281,53,9,102
Rhap-M2005.wav,26.361032,57,21,14
