file,WER,S,D,I
Rhap-D0002.wav,27.281846,123,139,10
Rhap-D0003.wav,36.240914,174,165,10
Rhap-D0004.wav,25.065048,145,132,12
Rhap-D0005.wav,39.634801,140,221,8
Rhap-D0006.wav,39.984883,178,342,9
Rhap-D0007.wav,59.722222,42,44,0
Rhap-D0008.wav,29.545455,102,85,8
Rhap-D0009.wav,47.822581,293,284,16
Rhap-D0017.wav,25.454545,15,9,4
Rhap-D0020.wav,25.0,17,6,3
Rhap-D1001.wav,22.840119,99,121,10
Rhap-D1002.wav,29.411765,50,85,10
Rhap-D2001.wav,18.853695,219,130,26
Rhap-D2002.wav,33.881579,163,130,16
Rhap-D2003.wav,34.511278,280,132,47
Rhap-D2004.wav,40.518962,105,294,7
Rhap-D2005.wav,14.057827,76,55,10
Rhap-D2006.wav,15.966387,25,10,3
Rhap-D2007.wav,40.24024,200,191,11
Rhap-D2008.wav,16.945907,173,151,30
Rhap-D2009.wav,14.299611,83,50,14
Rhap-D2010.wav,31.608133,187,148,7
Rhap-D2011.wav,17.596154,114,62,7
Rhap-D2012.wav,21.765296,127,56,34
Rhap-D2013.wav,5.46875,29,3,3
Rhap-M0001.wav,43.478261,41,18,1
Rhap-M0002.wav,40.40404,39,34,7
Rhap-M0003.wav,23.391813,40,38,2
Rhap-M0004.wav,55.555556,13,12,0
Rhap-M0005.wav,18.439716,13,12,1
Rhap-M0006.wav,35.714286,19,20,1
Rhap-M0007.wav,32.0,33,20,3
Rhap-M0008.wav,21.052632,5,7,0
Rhap-M0009.wav,46.511628,51,47,2
Rhap-M0010.wav,57.142857,16,20,0
Rhap-M0011.wav,22.012579,24,6,5
Rhap-M0012.wav,30.769231,8,7,1
Rhap-M0013.wav,22.727273,23,16,1
Rhap-M0014.wav,32.941176,15,11,2
Rhap-M0015.wav,32.911392,19,6,1
Rhap-M0016.wav,27.916667,32,31,4
Rhap-M0018.wav,25.680934,28,38,0
Rhap-M0019.wav,29.255319,13,38,4
Rhap-M0021.wav,30.337079,38,14,2
Rhap-M0022.wav,27.555556,20,41,1
Rhap-M0023.wav,43.75,56,81,3
Rhap-M0024.wav,18.181818,9,14,1
Rhap-M1001.wav,40.519481,69,86,1
Rhap-M1003.wav,30.295567,118,122,6
Rhap-M2001.wav,6.133829,26,5,2
Rhap-M2002.wav,19.86249,128,123,9
Rhap-M2003.wav,4.676754,28,4,2
Rhap-M2004.wav,4.330393,44,7,3
Rhap-M2005.wav,14.613181,32,8,11
