file,WER,S,D,I
Rhap-D0002.wav,28.236607,132,110,11
Rhap-D0003.wav,34.105263,154,159,11
Rhap-D0004.wav,26.575342,153,107,31
Rhap-D0005.wav,43.896424,172,154,30
Rhap-D0006.wav,34.355828,154,232,6
Rhap-D0007.wav,54.347826,38,37,0
Rhap-D0008.wav,39.89726,104,74,55
Rhap-D0009.wav,55.674103,345,173,56
Rhap-D0017.wav,28.703704,19,8,4
Rhap-D0020.wav,27.184466,15,8,5
Rhap-D1001.wav,34.642857,121,71,99
Rhap-D1002.wav,32.048682,64,83,11
Rhap-D2001.wav,18.030303,202,128,27
Rhap-D2002.wav,34.030837,161,134,14
Rhap-D2003.wav,34.661654,278,129,54
Rhap-D2004.wav,24.173028,101,73,16
Rhap-D2005.wav,13.645833,64,46,21
Rhap-D2006.wav,16.806723,29,8,3
Rhap-D2007.wav,39.97996,222,165,12
Rhap-D2008.wav,21.24632,178,180,75
Rhap-D2009.wav,14.705882,71,56,23
Rhap-D2010.wav,33.204259,173,146,24
Rhap-D2011.wav,20.259481,103,53,47
Rhap-D2012.wav,25.359343,129,58,60
Rhap-D2013.wav,5.9375,30,3,5
Rhap-M0001.wav,38.405797,39,14,0
Rhap-M0002.wav,39.393939,38,33,7
Rhap-M0003.wav,26.708075,52,27,7
Rhap-M0004.wav,40.0,10,8,0
Rhap-M0005.wav,33.333333,15,14,13
Rhap-M0006.wav,45.263158,20,17,6
Rhap-M0007.wav,31.976744,32,16,7
Rhap-M0008.wav,37.037037,7,8,5
Rhap-M0009.wav,47.058824,57,36,3
Rhap-M0010.wav,59.677419,19,18,0
Rhap-M0011.wav,24.203822,27,6,5
Rhap-M0012.wav,36.0,7,8,3
Rhap-M0013.wav,25.568182,25,18,2
Rhap-M0014.wav,36.363636,15,6,7
Rhap-M0015.wav,30.379747,18,6,0
Rhap-M0016.wav,29.535865,30,33,7
Rhap-M0018.wav,28.571429,34,28,8
Rhap-M0019.wav,27.12766,13,35,3
Rhap-M0021.wav,35.502959,39,11,10
Rhap-M0022.wav,31.25,28,39,3
Rhap-M0023.wav,41.25,54,75,3
Rhap-M0024.wav,18.320611,10,13,1
Rhap-M1001.wav,41.253264,71,84,3
Rhap-M1003.wav,30.148883,125,112,6
Rhap-M2001.wav,7.28972,28,5,6
Rhap-M2002.wav,20.091673,126,129,8
Rhap-M2003.wav,5.37931,31,2,6
Rhap-M2004.wav,13.751088,54,10,94
Rhap-M2005.wav,14.040115,32,7,10
