file,WER,S,D,I
Rhap-D0002.wav,26.780341,101,140,26
Rhap-D0003.wav,25.96054,130,94,26
Rhap-D0004.wav,19.947962,121,90,19
Rhap-D0005.wav,32.116004,132,155,12
Rhap-D0006.wav,30.612245,128,253,24
Rhap-D0007.wav,34.722222,32,15,3
Rhap-D0008.wav,23.181818,83,56,14
Rhap-D0009.wav,41.612903,286,193,37
Rhap-D0017.wav,21.818182,15,8,1
Rhap-D0020.wav,20.192308,10,7,4
Rhap-D1001.wav,17.477656,94,67,15
Rhap-D1002.wav,21.906694,61,38,9
Rhap-D2001.wav,15.786828,209,78,27
Rhap-D2002.wav,23.684211,130,68,18
Rhap-D2003.wav,33.909774,311,74,66
Rhap-D2004.wav,38.822355,107,245,37
Rhap-D2005.wav,15.453639,90,46,19
Rhap-D2006.wav,15.12605,25,4,7
Rhap-D2007.wav,32.932933,197,108,24
Rhap-D2008.wav,16.754428,193,120,37
Rhap-D2009.wav,7.29572,43,19,13
Rhap-D2010.wav,26.432532,156,114,16
Rhap-D2011.wav,15.961538,110,35,21
Rhap-D2012.wav,18.154463,128,29,24
Rhap-D2013.wav,6.71875,34,5,4
Rhap-M0001.wav,26.811594,26,8,3
Rhap-M0002.wav,26.262626,33,8,11
Rhap-M0003.wav,18.421053,36,22,5
Rhap-M0004.wav,44.444444,16,4,0
Rhap-M0005.wav,18.439716,14,11,1
Rhap-M0006.wav,35.714286,18,19,3
Rhap-M0007.wav,31.428571,28,16,11
Rhap-M0008.wav,14.035088,5,3,0
Rhap-M0009.wav,31.627907,45,20,3
Rhap-M0010.wav,46.031746,20,9,0
Rhap-M0011.wav,21.383648,21,8,5
Rhap-M0012.wav,11.538462,6,0,0
Rhap-M0013.wav,15.340909,18,3,6
Rhap-M0014.wav,20.0,9,6,2
Rhap-M0015.wav,32.911392,19,4,3
Rhap-M0016.wav,20.833333,33,10,7
Rhap-M0018.wav,19.844358,31,15,5
Rhap-M0019.wav,22.340426,19,14,9
Rhap-M0021.wav,28.089888,28,4,18
Rhap-M0022.wav,16.444444,19,13,5
Rhap-M0023.wav,32.1875,57,37,9
Rhap-M0024.wav,15.909091,10,5,6
Rhap-M1001.wav,18.701299,48,22,2
Rhap-M1003.wav,14.408867,77,26,14
Rhap-M2001.wav,4.832714,23,2,1
Rhap-M2002.wav,11.077158,81,42,22
Rhap-M2003.wav,5.914718,37,2,4
Rhap-M2004.wav,5.292702,57,3,6
Rhap-M2005.wav,11.747851,27,6,8
