file,WER,S,D,I
Rhap-D0002.wav,18.756269,86,75,26
Rhap-D0003.wav,25.441329,137,71,37
Rhap-D0004.wav,15.871639,90,72,21
Rhap-D0005.wav,29.43072,107,156,11
Rhap-D0006.wav,25.699169,140,176,24
Rhap-D0007.wav,36.805556,35,16,2
Rhap-D0008.wav,20.0,77,43,12
Rhap-D0009.wav,37.903226,303,119,48
Rhap-D0017.wav,18.181818,13,6,1
Rhap-D0020.wav,16.346154,10,3,4
Rhap-D1001.wav,15.193644,88,48,17
Rhap-D1002.wav,16.43002,50,19,12
Rhap-D2001.wav,14.379085,192,63,31
Rhap-D2002.wav,24.561404,136,66,22
Rhap-D2003.wav,49.774436,496,105,61
Rhap-D2004.wav,34.131737,91,238,13
Rhap-D2005.wav,11.266201,67,22,24
Rhap-D2006.wav,13.865546,25,4,4
Rhap-D2007.wav,34.534535,234,91,20
Rhap-D2008.wav,19.530876,278,83,47
Rhap-D2009.wav,6.420233,38,19,9
Rhap-D2010.wav,24.768946,160,84,24
Rhap-D2011.wav,18.461538,138,37,17
Rhap-D2012.wav,23.671013,167,28,41
Rhap-D2013.wav,10.625,58,5,5
Rhap-M0001.wav,26.086957,28,7,1
Rhap-M0002.wav,22.222222,31,6,7
Rhap-M0003.wav,15.789474,35,19,0
Rhap-M0004.wav,51.111111,19,4,0
Rhap-M0005.wav,15.602837,11,9,2
Rhap-M0006.wav,24.107143,18,9,0
Rhap-M0007.wav,27.428571,23,16,9
Rhap-M0008.wav,17.54386,5,5,0
Rhap-M0009.wav,28.372093,35,18,8
Rhap-M0010.wav,46.031746,19,10,0
Rhap-M0011.wav,19.496855,21,6,4
Rhap-M0012.wav,11.538462,6,0,0
Rhap-M0013.wav,15.340909,16,6,5
Rhap-M0014.wav,27.058824,13,8,2
Rhap-M0015.wav,29.113924,18,4,1
Rhap-M0016.wav,21.25,31,10,10
Rhap-M0018.wav,17.509728,24,14,7
Rhap-M0019.wav,27.12766,22,13,16
Rhap-M0021.wav,32.022472,36,4,17
Rhap-M0022.wav,20.0,21,17,7
Rhap-M0023.wav,31.875,52,39,11
Rhap-M0024.wav,18.939394,11,6,8
Rhap-M1001.wav,19.220779,48,23,3
Rhap-M1003.wav,12.931034,68,19,18
Rhap-M2001.wav,3.531599,16,2,1
Rhap-M2002.wav,10.542399,75,45,18
Rhap-M2003.wav,5.777166,38,2,2
Rhap-M2004.wav,5.292702,59,2,5
Rhap-M2005.wav,15.186246,35,6,12
