file,WER,S,D,I
Rhap-D0020-Pro,23.076923,12,12,0
Rhap-D2002-Pro,49.013158,207,237,3
Rhap-M0009-Pro,33.023256,34,37,0
Rhap-D0017-Pro,20.909091,11,12,0
Rhap-D2006-Pro,52.521008,42,10,73
Rhap-M0002-Pro,28.787879,26,29,2
Rhap-D2009-Pro,29.182879,152,142,6
Rhap-M0023-Pro,35.3125,26,86,1
Rhap-D0001-Pro,69.561069,189,538,2
Rhap-D0005-Pro,52.631579,146,341,3
Rhap-M0016-Pro,29.166667,31,36,3
Rhap-M0003-Pro,30.701754,36,69,0
Rhap-D0004-Pro,39.809193,193,266,0
Rhap-D2005-Pro,32.20339,159,160,4
Rhap-D0002-Pro,40.320963,177,223,2
Rhap-M0006-Pro,27.678571,15,16,0
Rhap-D1002-Pro,32.251521,57,96,6
Rhap-D1001-Pro,37.636544,193,172,14
Rhap-M0004-Pro,13.333333,4,2,0
Rhap-D2012-Pro,37.412237,203,167,3
Rhap-D2010-Pro,49.445471,229,302,4
Rhap-M0019-Pro,32.978723,22,37,3
Rhap-M2005-Pro,21.489971,48,26,1
Rhap-M1001-Pro,34.285714,56,75,1
Rhap-M0007-Pro,28.571429,14,33,3
Rhap-M2004-Pro,27.586207,294,38,12
Rhap-D2011-Pro,39.615385,183,227,2
Rhap-D1003-Pro,46.748682,131,131,4
Rhap-D0003-Pro,50.155763,193,288,2
Rhap-D2008-Pro,48.77932,501,513,5
Rhap-M0018-Pro,22.957198,23,35,1
Rhap-D0006-Pro,56.235828,207,533,4
Rhap-M0022-Pro,26.666667,18,42,0
Rhap-D2004-Pro,52.694611,142,383,3
Rhap-M0001-Pro,21.014493,13,16,0
Rhap-M2001-Pro,11.33829,52,7,2
Rhap-D2007-Pro,58.458458,214,368,2
Rhap-M0011-Pro,25.786164,28,12,1
Rhap-M1003-Pro,35.221675,129,157,0
Rhap-M0024-Pro,23.484848,12,19,0
Rhap-D2001-Pro,48.014077,513,433,9
Rhap-D2013-Pro,15.15625,78,15,4
Rhap-M2002-Pro,39.419404,254,259,3
Rhap-D0008-Pro,39.545455,100,160,1
Rhap-M2003-Pro,11.004127,76,4,0
Rhap-M0005-Pro,20.567376,15,14,0
Rhap-D0009-Pro,65.887097,288,526,3
Rhap-M0021-Pro,20.224719,17,19,0
Rhap-D2003-Pro,81.503759,321,763,0
Rhap-M0014-Pro,25.882353,8,14,0
Rhap-M0015-Pro,29.113924,11,11,1
Rhap-M2006-Pro,140.63786,487,104,776
Rhap-D0007-Pro,43.75,30,32,1
Rhap-M0013-Pro,22.727273,10,30,0
Rhap-M0012-Pro,26.923077,8,6,0
Rhap-M0008-Pro,24.561404,3,11,0
Rhap-M0010-Pro,25.396825,9,7,0
