file,WER,S,D,I
Rhap-D0002.wav,29.352679,126,135,2
Rhap-D0003.wav,36.631579,133,213,2
Rhap-D0004.wav,29.315068,117,183,21
Rhap-D0005.wav,48.828607,190,183,23
Rhap-D0006.wav,34.881683,152,240,6
Rhap-D0007.wav,39.130435,25,26,3
Rhap-D0008.wav,41.09589,95,112,33
Rhap-D0009.wav,54.99515,275,240,52
Rhap-D0017.wav,21.296296,14,9,0
Rhap-D0020.wav,21.359223,11,10,1
Rhap-D1001.wav,32.857143,98,65,113
Rhap-D1002.wav,31.845842,53,102,2
Rhap-D2001.wav,18.181818,158,195,7
Rhap-D2002.wav,40.638767,160,206,3
Rhap-D2003.wav,37.894737,235,261,8
Rhap-D2004.wav,29.770992,90,135,9
Rhap-D2005.wav,18.645833,89,77,13
Rhap-D2006.wav,13.445378,22,10,0
Rhap-D2007.wav,44.98998,143,301,5
Rhap-D2008.wav,25.662414,182,284,57
Rhap-D2009.wav,16.568627,79,81,9
Rhap-D2010.wav,36.011617,171,182,19
Rhap-D2011.wav,24.251497,89,112,42
Rhap-D2012.wav,28.644764,129,118,32
Rhap-D2013.wav,7.8125,41,9,0
Rhap-M0001.wav,28.26087,18,21,0
Rhap-M0002.wav,26.262626,22,29,1
Rhap-M0003.wav,30.745342,36,50,13
Rhap-M0004.wav,22.222222,6,4,0
Rhap-M0005.wav,37.301587,17,17,13
Rhap-M0006.wav,36.842105,15,15,5
Rhap-M0007.wav,29.069767,20,25,5
Rhap-M0008.wav,37.037037,3,13,4
Rhap-M0009.wav,34.803922,31,36,4
Rhap-M0010.wav,25.806452,8,7,1
Rhap-M0011.wav,24.203822,25,11,2
Rhap-M0012.wav,30.0,7,6,2
Rhap-M0013.wav,21.022727,9,28,0
Rhap-M0014.wav,29.87013,9,9,5
Rhap-M0015.wav,24.050633,7,12,0
Rhap-M0016.wav,29.957806,30,35,6
Rhap-M0018.wav,24.081633,25,24,10
Rhap-M0019.wav,30.319149,14,40,3
Rhap-M0021.wav,23.668639,21,10,9
Rhap-M0022.wav,24.553571,17,36,2
Rhap-M0023.wav,36.5625,30,85,2
Rhap-M0024.wav,23.664122,11,19,1
Rhap-M1001.wav,29.503916,40,72,1
Rhap-M1003.wav,20.843672,53,114,1
Rhap-M2001.wav,5.233645,16,9,3
Rhap-M2002.wav,19.633308,81,174,2
Rhap-M2003.wav,2.482759,14,2,2
Rhap-M2004.wav,13.925152,54,6,100
Rhap-M2005.wav,14.040115,27,22,0
