file,WER,S,D,I
Rhap-D0002.wav,41.183036,75,287,7
Rhap-D0003.wav,52.526316,106,389,4
Rhap-D0004.wav,45.753425,85,389,27
Rhap-D0005.wav,66.091245,151,341,44
Rhap-D0006.wav,43.733567,203,277,19
Rhap-D0007.wav,61.594203,17,64,4
Rhap-D0008.wav,41.09589,85,131,24
Rhap-D0009.wav,61.299709,225,348,59
Rhap-D0017.wav,21.296296,10,13,0
Rhap-D0020.wav,37.864078,5,32,2
Rhap-D1001.wav,30.833333,96,46,117
Rhap-D1002.wav,44.016227,42,169,6
Rhap-D2001.wav,52.222222,96,929,9
Rhap-D2002.wav,57.048458,68,447,3
Rhap-D2003.wav,66.917293,100,780,10
Rhap-D2004.wav,61.577608,72,409,3
Rhap-D2005.wav,36.041667,62,274,10
Rhap-D2006.wav,16.806723,18,13,9
Rhap-D2007.wav,70.541082,47,654,3
Rhap-D2008.wav,68.940137,114,1279,12
Rhap-D2009.wav,53.039216,75,456,10
Rhap-D2010.wav,50.629235,84,408,31
Rhap-D2011.wav,56.586826,76,476,15
Rhap-D2012.wav,63.655031,63,549,8
Rhap-D2013.wav,52.34375,56,279,0
Rhap-M0001.wav,30.434783,23,19,0
Rhap-M0002.wav,41.919192,14,67,2
Rhap-M0003.wav,60.248447,12,165,17
Rhap-M0004.wav,17.777778,6,2,0
Rhap-M0005.wav,28.571429,12,23,1
Rhap-M0006.wav,35.789474,17,12,5
Rhap-M0007.wav,31.395349,9,44,1
Rhap-M0008.wav,25.925926,1,8,5
Rhap-M0009.wav,60.784314,21,100,3
Rhap-M0010.wav,20.967742,4,8,1
Rhap-M0011.wav,38.216561,22,37,1
Rhap-M0012.wav,50.0,13,6,6
Rhap-M0013.wav,51.136364,7,82,1
Rhap-M0014.wav,32.467532,9,7,9
Rhap-M0015.wav,39.240506,12,19,0
Rhap-M0016.wav,57.383966,15,114,7
Rhap-M0018.wav,29.387755,24,39,9
Rhap-M0019.wav,51.595745,9,87,1
Rhap-M0021.wav,23.076923,11,19,9
Rhap-M0022.wav,35.714286,17,61,2
Rhap-M0023.wav,54.375,23,148,3
Rhap-M0024.wav,48.854962,21,43,0
Rhap-M1001.wav,37.075718,34,104,4
Rhap-M1003.wav,40.942928,50,279,1
Rhap-M2001.wav,4.485981,15,6,3
Rhap-M2002.wav,59.587471,69,711,0
Rhap-M2003.wav,7.724138,32,9,15
Rhap-M2004.wav,14.012185,55,5,101
Rhap-M2005.wav,55.014327,38,153,1
