file,WER,S,D,I
Rhap-D0002.wav,42.522321,89,290,2
Rhap-D0003.wav,62.736842,58,537,1
Rhap-D0004.wav,52.876712,62,499,18
Rhap-D0005.wav,65.351418,132,390,8
Rhap-D0006.wav,46.099912,107,412,7
Rhap-D0007.wav,83.333333,7,108,0
Rhap-D0008.wav,46.917808,68,181,25
Rhap-D0009.wav,61.299709,198,379,55
Rhap-D0017.wav,51.851852,7,49,0
Rhap-D0020.wav,58.252427,6,51,3
Rhap-D1001.wav,31.547619,88,89,88
Rhap-D1002.wav,48.275862,45,189,4
Rhap-D2001.wav,54.545455,92,981,7
Rhap-D2002.wav,66.960352,68,530,10
Rhap-D2003.wav,74.511278,66,921,4
Rhap-D2004.wav,62.849873,48,441,5
Rhap-D2005.wav,43.125,77,324,13
Rhap-D2006.wav,18.067227,21,17,5
Rhap-D2007.wav,79.95992,55,743,0
Rhap-D2008.wav,73.552502,112,1380,7
Rhap-D2009.wav,68.137255,24,671,0
Rhap-D2010.wav,55.17909,107,445,18
Rhap-D2011.wav,62.075848,60,545,17
Rhap-D2012.wav,66.735113,65,581,4
Rhap-D2013.wav,59.21875,41,333,5
Rhap-M0001.wav,29.710145,21,20,0
Rhap-M0002.wav,43.434343,7,78,1
Rhap-M0003.wav,63.043478,23,170,10
Rhap-M0004.wav,24.444444,8,3,0
Rhap-M0005.wav,34.920635,10,33,1
Rhap-M0006.wav,41.052632,22,16,1
Rhap-M0007.wav,34.883721,11,48,1
Rhap-M0008.wav,27.777778,1,9,5
Rhap-M0009.wav,65.196078,15,118,0
Rhap-M0010.wav,22.580645,6,7,1
Rhap-M0011.wav,36.942675,12,45,1
Rhap-M0012.wav,42.0,9,10,2
Rhap-M0013.wav,63.068182,4,106,1
Rhap-M0014.wav,31.168831,2,21,1
Rhap-M0015.wav,41.772152,9,24,0
Rhap-M0016.wav,54.008439,60,60,8
Rhap-M0018.wav,36.326531,17,62,10
Rhap-M0019.wav,53.723404,30,65,6
Rhap-M0021.wav,28.994083,20,19,10
Rhap-M0022.wav,38.839286,16,70,1
Rhap-M0023.wav,50.625,33,127,2
Rhap-M0024.wav,47.328244,2,59,1
Rhap-M1001.wav,51.958225,38,160,1
Rhap-M1003.wav,47.022333,30,345,4
Rhap-M2001.wav,5.420561,18,6,5
Rhap-M2002.wav,61.191749,95,706,0
Rhap-M2003.wav,13.37931,23,69,5
Rhap-M2004.wav,14.708442,50,10,109
Rhap-M2005.wav,63.323782,18,202,1
