file,WER,S,D,I
Rhap-D0020-Pro,57.281553,5,51,3
Rhap-D2002-Pro,63.756906,81,492,4
Rhap-M0009-Pro,64.423077,34,100,0
Rhap-D0017-Pro,42.592593,9,37,0
Rhap-D2006-Pro,12.605042,15,15,0
Rhap-M0002-Pro,29.292929,11,46,1
Rhap-D2009-Pro,65.153011,37,621,2
Rhap-M0023-Pro,40.3125,29,95,5
Rhap-D0005-Pro,72.228321,63,592,3
Rhap-M0016-Pro,42.016807,48,47,5
Rhap-M0003-Pro,67.35905,16,206,5
Rhap-D0004-Pro,71.267361,39,778,4
Rhap-D2005-Pro,50.747757,58,449,2
Rhap-D0002-Pro,52.337398,69,442,4
Rhap-M0006-Pro,64.814815,10,60,0
Rhap-D1002-Pro,47.975709,59,174,4
Rhap-D1001-Pro,28.731762,65,121,70
Rhap-M0004-Pro,26.666667,9,3,0
Rhap-D2012-Pro,68.717949,42,621,7
Rhap-D2010-Pro,54.426841,104,472,8
Rhap-M0019-Pro,55.319149,30,71,3
Rhap-M2005-Pro,77.363897,6,264,0
Rhap-M1001-Pro,54.6875,20,188,2
Rhap-M0007-Pro,36.0,13,49,1
Rhap-M2004-Pro,11.949153,59,9,73
Rhap-D2011-Pro,69.921105,57,648,4
Rhap-D0003-Pro,71.235722,50,635,1
Rhap-D2008-Pro,74.744526,52,1478,6
Rhap-M0018-Pro,37.804878,17,64,12
Rhap-D0006-Pro,51.017214,86,560,6
Rhap-M0022-Pro,26.363636,20,38,0
Rhap-D2004-Pro,61.132075,38,446,2
Rhap-M0001-Pro,28.467153,18,20,1
Rhap-M2001-Pro,5.018587,19,6,2
Rhap-D2007-Pro,81.181181,42,768,1
Rhap-M0011-Pro,49.056604,16,60,2
Rhap-M1003-Pro,45.12947,45,315,6
Rhap-M0024-Pro,48.854962,5,59,0
Rhap-D2001-Pro,53.242836,89,964,6
Rhap-D2013-Pro,85.15625,17,527,1
Rhap-M2002-Pro,61.726509,76,730,2
Rhap-D0008-Pro,44.499179,49,200,22
Rhap-M2003-Pro,12.396694,11,75,4
Rhap-M0005-Pro,49.593496,10,51,0
Rhap-D0009-Pro,74.956971,77,769,25
Rhap-M0021-Pro,25.287356,18,21,5
Rhap-D2003-Pro,94.815928,15,1247,0
Rhap-M0014-Pro,28.571429,6,7,9
Rhap-M0015-Pro,62.025316,9,40,0
Rhap-D0007-Pro,72.340426,14,88,0
Rhap-M0013-Pro,57.386364,19,81,1
Rhap-M0012-Pro,43.75,9,9,3
Rhap-M0008-Pro,48.148148,1,25,0
Rhap-M0010-Pro,20.967742,7,5,1
