file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,10.612245,16,7,3
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,60.655738,18,15,4
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,29.811321,42,37,0
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,56.25,20,5,11
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,17.708333,8,9,0
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,26.428571,20,9,8
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,25.903614,22,16,5
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,13.00813,13,1,2
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,24.861878,28,16,1
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,21.84466,28,14,3
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,32.156863,163,135,30
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,25.581395,6,1,4
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,42.857143,8,6,1
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,62.5,17,10,3
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,23.899371,21,15,2
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,33.333333,34,13,2
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,13.705584,16,9,2
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,26.25,10,9,2
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,7.94702,12,6,6
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,12.162162,6,2,1
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,50.406504,32,28,2
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,27.891156,17,23,1
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,18.897638,11,5,8
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,22.123894,50,52,23
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,13.095238,13,8,1
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,26.436782,9,14,0
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,19.277108,11,2,3
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,13.978495,13,11,2
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,27.419355,25,25,1
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,23.163842,23,10,8
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,36.849711,130,100,25
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,33.969466,44,43,2
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,16.256158,18,15,0
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,12.765957,7,3,2
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,22.78481,9,6,3
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,31.944444,10,7,6
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,16.025641,16,7,2
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,11.894273,19,5,3
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,3.529412,1,2,0
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,15.714286,11,8,3
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,20.454545,14,8,5
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,22.522523,8,14,3
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,29.333333,15,6,1
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,21.538462,18,6,4
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,13.28125,7,8,2
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,24.528302,20,14,5
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,21.95122,10,24,2
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,30.625,23,14,12
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,8.496732,6,5,2
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,21.428571,6,4,2
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,20.895522,15,12,1
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,7.006369,6,2,3
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,11.650485,11,1,0
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,20.353982,14,7,2
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,30.054645,33,18,4
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,31.100478,27,33,5
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,39.207048,29,35,25
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,23.076923,13,9,5
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,21.428571,13,8,3
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,26.262626,12,5,9
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,30.927835,12,10,8
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,38.888889,15,11,2
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,17.105263,25,10,4
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,12.244898,18,4,20
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,15.903614,40,16,10
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,26.229508,37,20,7
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,30.263158,14,16,16
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,18.881119,16,9,2
