file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,9.387755,12,11,0
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,63.934426,14,18,7
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,35.361217,51,38,4
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,46.875,16,3,11
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,17.708333,8,7,2
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,20.0,14,4,10
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,23.717949,21,14,2
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,8.943089,10,0,1
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,18.452381,17,12,2
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,18.902439,12,19,0
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,40.156709,227,149,34
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,4.651163,2,0,0
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,48.275862,10,1,3
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,35.135135,10,2,1
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,25.949367,32,8,1
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,28.767123,22,20,0
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,22.959184,24,14,7
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,22.78481,7,10,1
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,7.615894,14,6,3
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,14.864865,9,1,1
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,47.96748,30,27,2
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,27.083333,14,25,0
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,16.535433,14,5,2
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,24.778761,70,53,17
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,13.253012,15,5,2
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,23.255814,8,12,0
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,22.891566,13,3,3
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,18.817204,16,13,6
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,31.182796,27,30,1
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,22.619048,22,10,6
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,36.666667,122,102,29
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,41.221374,49,55,4
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,22.797927,27,15,2
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,14.893617,6,6,2
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,24.0,13,4,1
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,27.777778,7,7,6
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,20.915033,18,12,2
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,11.453744,17,6,3
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,11.764706,6,4,0
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,16.981132,8,9,1
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,28.787879,22,10,6
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,19.090909,7,14,0
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,21.333333,10,5,1
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,23.622047,24,2,4
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,17.96875,11,6,6
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,24.025974,18,17,2
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,27.777778,27,14,4
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,28.75,33,8,5
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,15.131579,10,7,6
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,34.545455,6,11,2
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,32.330827,18,17,8
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,10.828025,12,0,5
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,7.76699,6,2,0
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,19.444444,12,4,5
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,31.147541,32,19,6
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,35.828877,31,33,3
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,36.563877,32,39,12
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,13.793103,8,6,2
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,15.178571,10,6,1
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,37.755102,15,9,13
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,52.57732,27,9,15
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,41.666667,16,11,3
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,15.178571,22,6,6
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,10.818713,21,8,8
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,20.963855,53,26,8
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,17.241379,20,16,4
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,29.605263,20,17,8
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,11.188811,12,4,0
