file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,12.244898,18,4,8
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,52.459016,11,16,5
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,26.792453,39,23,9
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,48.4375,18,6,7
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,22.916667,16,6,0
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,27.857143,18,8,13
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,28.915663,30,12,6
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,21.138211,20,3,3
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,16.574586,13,6,11
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,18.446602,26,7,5
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,21.568627,121,65,34
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,51.162791,17,3,2
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,54.285714,8,11,0
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,39.583333,10,7,2
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,31.446541,38,3,9
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,31.972789,33,13,1
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,20.304569,25,10,5
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,22.5,10,8,0
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,12.913907,24,4,11
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,32.432432,16,1,7
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,34.146341,18,19,5
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,26.530612,20,19,0
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,14.96063,11,3,5
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,25.309735,85,34,24
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,10.119048,11,2,4
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,14.942529,7,3,3
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,18.072289,11,2,2
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,15.591398,17,3,9
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,29.569892,32,16,7
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,24.293785,23,10,10
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,33.815029,125,81,28
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,29.389313,44,27,6
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,21.674877,27,13,4
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,13.829787,8,1,4
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,26.582278,11,8,2
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,41.666667,19,7,4
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,22.435897,23,6,6
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,20.264317,33,6,7
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,12.941176,8,3,0
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,20.0,18,9,1
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,28.030303,24,6,7
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,15.315315,7,8,2
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,24.0,12,6,0
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,22.307692,18,5,6
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,15.625,13,4,3
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,26.415094,19,11,12
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,29.878049,23,19,7
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,41.875,45,12,10
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,20.261438,24,2,5
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,32.142857,7,8,3
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,35.074627,21,21,5
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,30.573248,38,6,4
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,30.097087,23,3,5
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,34.513274,18,12,9
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,48.087432,59,23,6
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,39.23445,47,32,3
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,36.123348,41,16,25
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,23.076923,14,9,4
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,25.0,15,12,1
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,46.464646,24,7,15
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,44.329897,25,8,10
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,36.111111,15,8,3
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,18.421053,25,8,9
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,15.74344,28,5,21
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,17.831325,35,13,26
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,21.311475,35,14,3
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,24.342105,13,11,13
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,12.587413,13,3,2
