file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,8.979592,17,2,3
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,50.819672,12,14,5
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,21.969697,32,22,4
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,62.5,30,5,5
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,23.958333,14,9,0
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,22.142857,18,6,7
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,28.481013,23,16,6
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,16.260163,17,1,2
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,10.650888,11,4,3
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,30.057803,25,22,5
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,21.449559,123,64,32
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,48.837209,13,5,3
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,44.827586,10,3,0
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,50.0,14,4,1
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,32.075472,40,2,9
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,32.876712,36,11,1
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,19.897959,26,6,7
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,22.78481,10,7,1
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,10.596026,21,5,6
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,33.783784,19,3,3
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,32.520325,21,14,5
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,30.555556,24,17,3
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,11.811024,9,3,3
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,26.19469,95,31,22
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,9.036145,11,2,2
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,20.930233,11,4,3
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,26.506024,18,2,2
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,16.666667,16,4,11
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,28.494624,31,17,5
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,25.0,24,8,10
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,34.732272,123,97,20
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,28.51711,41,30,4
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,25.773196,34,13,3
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,11.702128,7,1,3
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,27.631579,12,7,2
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,38.888889,14,7,7
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,18.300654,20,5,3
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,22.026432,33,5,12
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,11.764706,7,3,0
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,17.757009,11,7,1
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,27.272727,22,7,7
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,17.272727,7,10,2
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,24.0,12,6,0
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,22.834646,16,6,7
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,13.28125,11,5,1
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,20.382166,12,8,12
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,28.395062,24,16,6
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,42.5,50,8,10
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,18.300654,21,4,3
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,29.090909,5,7,4
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,35.338346,22,19,6
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,36.942675,41,16,1
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,30.097087,21,4,6
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,22.222222,15,3,6
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,48.63388,55,27,7
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,35.106383,29,28,9
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,31.718062,36,16,20
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,27.586207,20,8,4
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,29.464286,17,15,1
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,48.979592,27,9,12
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,40.206186,22,9,8
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,34.722222,16,6,3
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,17.857143,24,6,10
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,14.868805,26,6,19
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,18.313253,36,16,24
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,18.220339,25,15,3
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,23.026316,12,11,12
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,12.587413,9,5,4
