file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,15.918367,26,0,13
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,65.57377,23,10,7
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,21.132075,29,18,9
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,59.375,21,3,14
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,26.041667,15,5,5
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,29.285714,19,8,14
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,32.53012,33,10,11
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,9.756098,10,1,1
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,15.469613,19,3,6
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,35.92233,50,21,3
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,17.156863,98,22,55
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,44.186047,17,1,1
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,37.142857,5,4,4
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,52.083333,12,13,0
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,21.383648,20,7,7
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,27.210884,32,7,1
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,23.350254,24,12,10
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,25.0,11,4,5
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,16.887417,30,4,17
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,25.675676,15,2,2
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,26.829268,13,16,4
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,23.129252,17,11,6
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,21.259843,17,4,6
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,21.415929,81,10,30
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,9.52381,12,1,3
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,24.137931,10,4,7
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,15.662651,8,1,4
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,14.516129,13,3,11
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,19.892473,21,14,2
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,21.468927,24,6,8
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,28.612717,95,37,66
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,17.175573,24,11,10
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,27.093596,26,22,7
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,11.702128,9,1,1
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,26.582278,10,9,2
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,38.888889,14,1,13
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,16.666667,13,8,5
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,22.026432,35,7,8
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,11.764706,5,4,1
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,29.285714,19,18,4
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,21.969697,18,3,8
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,21.621622,11,12,1
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,34.666667,18,5,3
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,28.461538,18,5,14
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,10.9375,7,2,5
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,20.754717,16,5,12
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,29.268293,27,10,11
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,38.75,38,4,20
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,17.647059,16,5,6
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,23.214286,7,3,3
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,20.149254,12,7,8
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,33.757962,42,8,3
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,23.300971,16,2,6
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,18.584071,10,8,3
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,32.240437,37,13,9
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,39.23445,41,29,12
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,29.07489,30,9,27
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,15.384615,7,3,8
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,28.571429,17,5,10
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,43.434343,22,4,17
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,39.175258,19,6,13
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,40.277778,19,5,5
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,18.859649,22,5,16
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,22.44898,28,3,46
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,26.746988,36,6,69
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,16.803279,17,12,12
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,25.0,16,7,15
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,13.286713,15,2,2
