file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,14.693878,23,1,12
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,57.377049,20,10,5
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,16.981132,25,14,6
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,59.375,20,5,13
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,25.0,11,6,7
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,34.285714,22,9,17
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,31.325301,29,14,9
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,8.130081,8,0,2
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,14.364641,17,5,4
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,30.582524,45,11,7
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,17.941176,111,13,59
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,55.813953,20,1,3
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,25.714286,5,4,0
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,41.666667,14,4,2
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,23.27044,23,9,5
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,27.210884,34,2,4
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,24.365482,27,10,11
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,31.25,11,5,9
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,16.225166,27,5,17
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,21.621622,14,0,2
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,22.764228,12,12,4
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,21.768707,19,8,5
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,24.409449,19,3,9
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,21.769912,79,7,37
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,8.928571,11,2,2
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,19.54023,7,2,8
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,15.662651,8,1,4
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,12.365591,8,3,12
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,21.505376,21,12,7
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,23.163842,28,4,9
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,29.046243,96,37,68
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,20.229008,28,15,10
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,20.689655,27,8,7
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,14.893617,10,0,4
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,20.253165,5,7,4
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,40.277778,14,3,12
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,15.384615,13,5,6
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,22.46696,37,7,7
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,10.588235,4,4,1
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,27.142857,22,11,5
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,20.454545,14,3,10
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,21.621622,11,10,3
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,33.333333,16,5,4
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,23.846154,17,3,11
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,10.9375,5,3,6
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,15.72327,14,3,8
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,24.390244,18,9,13
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,31.875,28,7,16
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,13.72549,13,3,5
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,30.357143,7,3,7
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,18.656716,13,4,8
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,29.936306,36,9,2
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,22.330097,15,2,6
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,20.353982,16,4,3
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,29.508197,33,12,9
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,37.799043,44,21,14
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,28.193833,28,8,28
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,14.529915,7,2,8
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,26.785714,17,3,10
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,43.434343,22,5,16
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,42.268041,22,6,13
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,36.111111,19,4,3
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,14.912281,18,3,13
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,22.44898,30,3,44
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,25.542169,36,5,65
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,14.754098,21,7,8
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,25.657895,13,6,20
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,16.083916,15,4,4
