file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,11.428571,16,10,2
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,60.655738,15,22,0
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,25.0,36,30,0
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,50.0,18,3,11
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,22.916667,12,7,3
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,20.714286,17,9,3
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,23.417722,19,14,4
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,12.195122,10,2,3
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,7.692308,11,2,0
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,23.699422,21,19,1
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,21.645446,106,107,8
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,23.255814,7,2,1
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,41.37931,8,1,3
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,63.157895,18,6,0
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,26.415094,22,14,6
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,23.972603,24,11,0
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,21.938776,23,17,3
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,26.582278,8,12,1
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,8.278146,16,3,6
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,17.567568,10,1,2
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,47.96748,20,38,1
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,29.166667,20,20,2
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,18.110236,15,5,3
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,25.663717,71,65,9
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,9.036145,7,8,0
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,33.72093,12,17,0
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,19.277108,10,2,4
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,19.354839,18,18,0
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,24.193548,17,27,1
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,22.619048,23,12,3
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,34.442836,117,104,17
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,35.741445,39,55,0
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,17.525773,23,11,0
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,24.468085,13,6,4
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,21.052632,12,4,0
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,33.333333,14,8,2
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,15.03268,14,9,0
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,15.418502,22,10,3
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,12.941176,4,7,0
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,19.626168,13,8,0
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,21.969697,15,11,3
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,23.636364,10,15,1
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,28.0,12,8,1
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,13.385827,10,4,3
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,12.5,7,8,1
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,24.203822,23,14,1
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,25.308642,21,18,2
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,26.25,21,16,5
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,10.457516,5,8,3
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,20.0,3,7,1
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,30.827068,17,24,0
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,10.191083,9,4,3
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,11.650485,8,3,1
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,11.111111,5,7,0
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,32.786885,36,23,1
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,36.170213,28,33,7
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,33.480176,38,31,7
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,24.137931,16,12,0
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,16.964286,7,11,1
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,42.857143,16,14,12
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,43.298969,17,11,14
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,41.666667,13,15,2
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,12.946429,19,9,1
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,12.827988,21,20,3
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,13.253012,32,21,2
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,10.169492,14,9,1
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,28.947368,18,19,7
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,12.587413,11,7,0
