file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,8.163265,7,8,5
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,37.704918,6,17,0
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,40.151515,14,88,4
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,56.25,21,6,9
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,20.833333,10,7,3
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,29.285714,15,17,9
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,22.78481,16,8,12
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,11.382114,7,5,2
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,14.201183,12,5,7
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,34.104046,26,15,18
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,47.208619,92,376,14
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,27.906977,8,2,2
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,27.586207,8,0,0
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,47.368421,10,4,4
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,19.496855,20,6,5
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,8.90411,8,5,0
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,17.346939,18,10,6
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,21.518987,8,8,1
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,9.271523,11,13,4
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,22.972973,10,0,7
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,66.666667,22,59,1
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,20.833333,11,16,3
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,14.96063,11,7,1
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,24.247788,66,54,17
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,15.662651,6,8,12
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,19.767442,6,11,0
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,16.86747,9,3,2
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,12.903226,9,11,4
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,15.591398,15,13,1
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,22.02381,19,16,2
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,30.969609,76,111,27
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,44.106464,15,100,1
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,18.041237,15,18,2
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,10.638298,6,1,3
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,23.684211,10,7,1
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,41.666667,14,11,5
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,21.568627,15,16,2
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,9.69163,12,4,6
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,10.588235,4,4,1
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,28.037383,21,4,5
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,28.030303,10,22,5
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,22.727273,7,17,1
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,32.0,16,5,3
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,41.732283,3,45,5
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,24.21875,7,23,1
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,21.019108,19,10,4
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,29.62963,23,22,3
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,30.625,13,33,3
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,16.993464,6,15,5
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,41.818182,6,6,11
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,42.857143,8,47,2
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,15.923567,14,2,9
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,14.563107,8,2,5
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,17.592593,10,6,3
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,35.519126,16,46,3
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,25.0,21,10,16
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,29.07489,25,28,13
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,12.931034,6,5,4
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,11.607143,8,5,0
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,22.44898,9,4,9
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,31.958763,15,6,10
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,19.444444,7,6,1
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,12.946429,18,6,5
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,14.577259,18,24,8
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,17.108434,20,49,2
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,39.40678,19,45,29
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,32.236842,21,19,9
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,9.090909,8,5,0
