file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,11.020408,15,11,1
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,55.737705,3,29,2
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,57.575758,8,142,2
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,65.625,23,12,7
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,16.666667,9,6,1
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,31.428571,17,25,2
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,28.481013,28,12,5
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,7.317073,5,3,1
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,34.911243,11,44,4
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,24.277457,18,21,3
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,65.523996,34,631,4
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,23.255814,7,2,1
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,17.241379,5,0,0
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,44.736842,11,5,1
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,22.641509,21,9,6
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,19.178082,19,9,0
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,34.693878,36,11,21
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,22.78481,7,9,2
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,12.913907,32,4,3
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,13.513514,7,1,2
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,58.536585,25,46,1
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,22.222222,16,15,1
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,17.322835,13,6,3
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,33.80531,71,108,12
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,13.253012,7,11,4
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,16.27907,1,12,1
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,15.662651,8,2,3
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,31.72043,8,49,2
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,23.11828,18,23,2
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,26.190476,17,23,4
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,42.836469,85,178,33
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,65.779468,17,156,0
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,27.835052,14,36,4
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,8.510638,5,2,1
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,15.789474,9,3,0
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,37.5,17,8,2
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,22.222222,16,13,5
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,19.823789,22,14,9
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,17.647059,7,8,0
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,20.560748,12,8,2
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,51.515152,7,58,3
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,49.090909,3,50,1
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,48.0,13,21,2
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,74.015748,5,88,1
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,66.40625,2,83,0
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,33.121019,15,33,4
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,54.938272,6,82,1
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,41.875,25,34,8
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,20.261438,5,24,2
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,40.0,4,9,9
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,59.398496,23,56,0
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,11.464968,13,2,3
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,10.679612,6,1,4
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,34.259259,7,29,1
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,48.087432,22,63,3
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,18.617021,18,12,5
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,27.753304,19,30,14
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,16.37931,8,9,2
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,8.035714,6,3,0
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,26.530612,10,2,14
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,43.298969,7,26,9
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,30.555556,11,9,2
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,16.071429,15,16,5
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,27.405248,26,65,3
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,33.493976,26,110,3
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,41.525424,11,86,1
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,58.552632,7,73,9
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,13.986014,14,6,0
