file,WER,S,D,I
PHO-000024-01_L01.wav,42.372881,64,7,4
PHO-000566-01_L01.wav,88.135593,128,7,21
PHO-000814-01_L01.wav,58.757062,83,8,13
PHO-001070-01_L01.wav,60.869565,63,8,13
PHO-001329-01_L01.wav,14.124294,18,5,2
PHO-001473-01_L01.wav,41.176471,36,8,5
PHO-001499-01_L01.wav,25.568182,35,8,2
PHO-001522-01_L01.wav,72.83237,103,5,18
PHO-001594-01_L01.wav,63.855422,78,25,3
PHO-001670-01_L01.wav,50.282486,64,20,5
PHO-001836-01_L01.wav,86.931818,134,12,7
PHO-307175-01_L01.wav,41.333333,33,14,15
