file,WER,S,D,I
PHO-000024-01_L01.wav,62.711864,91,11,9
PHO-000566-01_L01.wav,140.677966,154,0,95
PHO-000814-01_L01.wav,71.186441,103,2,21
PHO-001070-01_L01.wav,75.362319,73,6,25
PHO-001329-01_L01.wav,30.508475,40,4,10
PHO-001473-01_L01.wav,45.378151,44,5,5
PHO-001499-01_L01.wav,45.454545,56,9,15
PHO-001522-01_L01.wav,91.32948,112,6,40
PHO-001594-01_L01.wav,83.13253,113,16,9
PHO-001670-01_L01.wav,66.666667,85,20,13
PHO-001836-01_L01.wav,96.590909,144,6,20
PHO-307175-01_L01.wav,58.0,56,9,22
