file,WER,S,D,I
PHO-000024-01_L01.wav,45.19774,65,11,4
PHO-000566-01_L01.wav,87.570621,135,5,15
PHO-000814-01_L01.wav,57.627119,78,7,17
PHO-001070-01_L01.wav,60.144928,60,8,15
PHO-001329-01_L01.wav,15.254237,18,5,4
PHO-001473-01_L01.wav,42.016807,37,8,5
PHO-001499-01_L01.wav,24.431818,33,7,3
PHO-001522-01_L01.wav,73.988439,95,8,25
PHO-001594-01_L01.wav,66.26506,84,23,3
PHO-001670-01_L01.wav,49.717514,67,14,7
PHO-001836-01_L01.wav,86.931818,131,13,9
PHO-307175-01_L01.wav,40.0,35,13,12
