file,WER,S,D,I
PHO-000024-01_L01.wav,57.062147,82,10,9
PHO-000566-01_L01.wav,138.983051,152,0,94
PHO-000814-01_L01.wav,72.881356,96,5,28
PHO-001070-01_L01.wav,73.913043,65,4,33
PHO-001329-01_L01.wav,33.898305,42,7,11
PHO-001473-01_L01.wav,48.739496,44,6,8
PHO-001499-01_L01.wav,40.340909,49,7,15
PHO-001522-01_L01.wav,87.861272,113,7,32
PHO-001594-01_L01.wav,80.722892,114,12,8
PHO-001670-01_L01.wav,69.491525,90,18,15
PHO-001836-01_L01.wav,97.159091,146,4,21
PHO-307175-01_L01.wav,56.666667,54,6,25
