file,WER,S,D,I
PHO-000024-01_L01.wav,53.107345,77,9,8
PHO-000566-01_L01.wav,129.72973,163,0,77
PHO-000814-01_L01.wav,71.751412,93,11,23
PHO-001070-01_L01.wav,81.884058,79,2,32
PHO-001329-01_L01.wav,32.20339,44,3,10
PHO-001473-01_L01.wav,42.016807,40,6,4
PHO-001499-01_L01.wav,42.613636,58,8,9
PHO-001522-01_L01.wav,93.063584,115,8,38
PHO-001594-01_L01.wav,78.313253,101,21,8
PHO-001670-01_L01.wav,61.581921,81,19,9
PHO-001836-01_L01.wav,95.454545,145,6,17
PHO-307175-01_L01.wav,54.0,50,7,24
