file,WER,S,D,I
PHO-000024-01_L01.wav,41.242938,59,6,8
PHO-000566-01_L01.wav,82.162162,124,18,10
PHO-000814-01_L01.wav,45.19774,64,7,9
PHO-001070-01_L01.wav,58.695652,60,9,12
PHO-001329-01_L01.wav,18.644068,23,8,2
PHO-001473-01_L01.wav,31.092437,27,6,4
PHO-001499-01_L01.wav,26.136364,34,9,3
PHO-001522-01_L01.wav,57.803468,81,10,9
PHO-001594-01_L01.wav,64.457831,81,23,3
PHO-001670-01_L01.wav,45.762712,56,22,3
PHO-001836-01_L01.wav,85.795455,134,13,4
PHO-307175-01_L01.wav,43.333333,43,11,11
