file,WER,S,D,I
PHO-000024-01_L01.wav,62.711864,75,25,11
PHO-000566-01_L01.wav,94.350282,159,6,2
PHO-000814-01_L01.wav,94.915254,115,5,48
PHO-001070-01_L01.wav,97.101449,88,4,42
PHO-001329-01_L01.wav,32.20339,46,5,6
PHO-001473-01_L01.wav,52.941176,44,3,16
PHO-001499-01_L01.wav,48.863636,66,10,10
PHO-001522-01_L01.wav,109.248555,124,1,64
PHO-001594-01_L01.wav,82.53012,100,34,3
PHO-001670-01_L01.wav,64.40678,88,21,5
PHO-001836-01_L01.wav,93.181818,147,16,1
PHO-307175-01_L01.wav,62.0,60,10,23
