file,WER,S,D,I
PHO-000024-01_L01.wav,63.841808,75,30,8
PHO-000566-01_L01.wav,96.756757,157,12,10
PHO-000814-01_L01.wav,90.39548,117,3,40
PHO-001070-01_L01.wav,79.710145,82,3,25
PHO-001329-01_L01.wav,38.418079,54,5,9
PHO-001473-01_L01.wav,58.823529,49,3,18
PHO-001499-01_L01.wav,46.022727,67,7,7
PHO-001522-01_L01.wav,110.404624,122,2,67
PHO-001594-01_L01.wav,81.325301,98,35,2
PHO-001670-01_L01.wav,64.971751,83,27,5
PHO-001836-01_L01.wav,93.75,151,12,2
PHO-307175-01_L01.wav,64.666667,64,8,25
