file,WER,S,D,I
AEX-CAB000-02_L01.wav,14.772727,21,4,1
AEX-CAC000-02_L01.wav,27.272727,26,6,16
AEX-CAG000-01_L01.wav,22.988506,26,9,5
AEX-CLJ000-02_L01.wav,31.818182,25,5,26
AEX-CML000-01_L01.wav,17.045455,22,5,3
AEX-CSR000-01_L01.wav,18.079096,24,4,4
BEX-CDB000-01_L01.wav,17.714286,27,2,2
BEX-CEB000-01_L01.wav,30.113636,33,11,9
BEX-CHE000-01_L01.wav,20.338983,28,7,1
BEX-CKN000-01_L01.wav,18.079096,25,5,2
BEX-CMB000-01_L01.wav,28.070175,26,12,10
BEX-CNKN00-01_L01.wav,29.378531,35,12,5
