file,WER,S,D,I
PHO-000024-01_L01.wav,41.80791,53,19,2
PHO-000566-01_L01.wav,78.378378,107,29,9
PHO-000814-01_L01.wav,45.19774,63,16,1
PHO-001070-01_L01.wav,68.115942,59,27,8
PHO-001329-01_L01.wav,17.514124,19,10,2
PHO-001473-01_L01.wav,30.252101,24,9,3
PHO-001499-01_L01.wav,27.272727,35,13,0
PHO-001522-01_L01.wav,68.208092,90,26,2
PHO-001594-01_L01.wav,73.493976,73,46,3
PHO-001670-01_L01.wav,50.847458,62,26,2
PHO-001836-01_L01.wav,85.795455,115,34,2
PHO-307175-01_L01.wav,50.666667,45,23,8
