file,WER,S,D,I
PHO-000024-01_L01.wav,40.112994,61,7,3
PHO-000566-01_L01.wav,58.918919,84,13,12
PHO-000814-01_L01.wav,29.943503,48,3,2
PHO-001070-01_L01.wav,43.478261,40,9,11
PHO-001329-01_L01.wav,24.712644,14,26,3
PHO-001473-01_L01.wav,26.05042,23,4,4
PHO-001499-01_L01.wav,20.454545,28,6,2
PHO-001522-01_L01.wav,49.710983,52,24,10
PHO-001594-01_L01.wav,65.662651,83,25,1
PHO-001670-01_L01.wav,48.022599,73,10,2
PHO-001836-01_L01.wav,78.409091,65,71,2
PHO-307175-01_L01.wav,58.666667,28,58,2
