file,WER,S,D,I
Rhap-D0020-Pro,21.153846,15,5,2
Rhap-D2002-Pro,70.614035,253,388,3
Rhap-M0009-Pro,45.116279,53,42,2
Rhap-D0017-Pro,24.545455,14,9,4
Rhap-D2006-Pro,44.537815,23,10,73
Rhap-M0002-Pro,40.40404,39,34,7
Rhap-D2009-Pro,15.758755,91,52,19
Rhap-M0023-Pro,44.6875,59,81,3
Rhap-D0001-Pro,57.156489,247,345,7
Rhap-D0005-Pro,40.601504,147,224,7
Rhap-M0016-Pro,28.333333,34,30,4
Rhap-M0003-Pro,24.561404,45,37,2
Rhap-D0004-Pro,25.585429,152,131,12
Rhap-D2005-Pro,13.758724,74,53,11
Rhap-D0002-Pro,27.683049,130,129,17
Rhap-M0006-Pro,39.285714,25,18,1
Rhap-D1002-Pro,29.817444,52,85,10
Rhap-D1001-Pro,23.634558,102,115,21
Rhap-M0004-Pro,53.333333,10,14,0
Rhap-D2012-Pro,24.47342,145,60,39
Rhap-D2010-Pro,32.255083,190,152,7
Rhap-M0019-Pro,30.851064,17,37,4
Rhap-M2005-Pro,14.040115,33,8,8
Rhap-M1001-Pro,41.558442,72,86,2
Rhap-M0007-Pro,33.142857,32,21,5
Rhap-M2004-Pro,4.651163,50,5,3
Rhap-D2011-Pro,18.846154,128,62,6
Rhap-D1003-Pro,72.056239,163,247,0
Rhap-D0003-Pro,36.344756,175,164,11
Rhap-D2008-Pro,17.041647,184,142,30
Rhap-M0018-Pro,27.237354,34,35,1
Rhap-D0006-Pro,41.194255,199,335,11
Rhap-M0022-Pro,31.111111,25,42,3
Rhap-D2004-Pro,40.918164,109,293,8
Rhap-M0001-Pro,45.652174,44,19,0
Rhap-M2001-Pro,6.319703,28,4,2
Rhap-D2007-Pro,40.640641,204,189,13
Rhap-M0011-Pro,27.044025,28,11,4
Rhap-M1003-Pro,30.665025,127,118,4
Rhap-M0024-Pro,18.939394,9,15,1
Rhap-D2001-Pro,18.099548,194,141,25
Rhap-D2013-Pro,5.15625,29,1,3
Rhap-M2002-Pro,20.473644,132,129,7
Rhap-D0008-Pro,29.69697,99,87,10
Rhap-M2003-Pro,5.089409,30,4,3
Rhap-M0005-Pro,22.695035,15,17,0
Rhap-D0009-Pro,48.870968,313,279,14
Rhap-M0021-Pro,32.58427,40,15,3
Rhap-D2003-Pro,36.691729,293,130,65
Rhap-M0014-Pro,37.647059,14,12,6
Rhap-M0015-Pro,31.64557,19,5,1
Rhap-M2006-Pro,203.395062,51,11,1915
Rhap-D0007-Pro,59.722222,41,45,0
Rhap-M0013-Pro,22.727273,23,16,1
Rhap-M0012-Pro,34.615385,11,6,1
Rhap-M0008-Pro,22.807018,6,7,0
Rhap-M0010-Pro,60.31746,16,20,2
