file,WER,S,D,I
Rhap-D0020-Pro,23.076923,15,4,5
Rhap-D2002-Pro,30.592105,173,72,34
Rhap-M0009-Pro,47.906977,64,22,17
Rhap-D0017-Pro,28.181818,20,6,5
Rhap-D2006-Pro,49.159664,32,8,77
Rhap-M0002-Pro,30.808081,41,11,9
Rhap-D2009-Pro,10.311284,55,36,15
Rhap-M0023-Pro,40.0,65,56,7
Rhap-D0001-Pro,53.435115,339,184,37
Rhap-D0005-Pro,38.77551,165,168,28
Rhap-M0016-Pro,32.916667,51,20,8
Rhap-M0003-Pro,21.345029,39,25,9
Rhap-D0004-Pro,21.162186,113,91,40
Rhap-D2005-Pro,18.544367,118,41,27
Rhap-D0002-Pro,24.172518,127,81,33
Rhap-M0006-Pro,27.678571,23,6,2
Rhap-D1002-Pro,24.543611,65,48,8
Rhap-D1001-Pro,21.251241,115,71,28
Rhap-M0004-Pro,48.888889,16,6,0
Rhap-D2012-Pro,24.674022,158,47,41
Rhap-D2010-Pro,29.574861,203,89,28
Rhap-M0019-Pro,31.382979,34,14,11
Rhap-M2005-Pro,16.045845,37,10,9
Rhap-M1001-Pro,28.051948,57,42,9
Rhap-M0007-Pro,32.0,28,20,8
Rhap-M2004-Pro,7.698476,78,7,11
Rhap-D2011-Pro,21.634615,158,43,24
Rhap-D1003-Pro,43.760984,166,67,16
Rhap-D0003-Pro,31.983385,176,106,26
Rhap-D2008-Pro,13.834371,162,91,36
Rhap-M0018-Pro,26.459144,43,14,11
Rhap-D0006-Pro,33.635676,210,204,31
Rhap-M0022-Pro,36.888889,41,18,24
Rhap-D2004-Pro,39.820359,114,268,17
Rhap-M0001-Pro,40.57971,42,9,5
Rhap-M2001-Pro,6.505576,26,6,3
Rhap-D2007-Pro,34.534535,215,116,14
Rhap-M0011-Pro,22.641509,25,4,7
Rhap-M1003-Pro,20.197044,97,48,19
Rhap-M0024-Pro,21.212121,18,7,3
Rhap-D2001-Pro,19.959779,242,90,65
Rhap-D2013-Pro,9.375,49,5,6
Rhap-M2002-Pro,17.265088,122,74,30
Rhap-D0008-Pro,22.575758,88,47,14
Rhap-M2003-Pro,9.215956,55,7,5
Rhap-M0005-Pro,21.276596,17,5,8
Rhap-D0009-Pro,44.516129,319,194,39
Rhap-M0021-Pro,33.146067,37,6,16
Rhap-D2003-Pro,39.022556,313,120,86
Rhap-M0014-Pro,25.882353,14,6,2
Rhap-M0015-Pro,32.911392,22,2,2
Rhap-M2006-Pro,201.337449,87,17,1853
Rhap-D0007-Pro,39.583333,32,23,2
Rhap-M0013-Pro,32.954545,27,9,22
Rhap-M0012-Pro,46.153846,16,0,8
Rhap-M0008-Pro,26.315789,4,3,8
Rhap-M0010-Pro,65.079365,26,13,2
