file,WER,S,D,I
Rhap-D0020-Pro,21.153846,11,11,0
Rhap-D2002-Pro,50.877193,183,279,2
Rhap-M0009-Pro,33.488372,31,41,0
Rhap-D0017-Pro,21.818182,12,12,0
Rhap-D2006-Pro,21.428571,37,12,2
Rhap-M0002-Pro,29.292929,27,29,2
Rhap-D2009-Pro,29.571984,152,149,3
Rhap-M0023-Pro,34.6875,25,84,2
Rhap-D0005-Pro,51.235231,144,331,2
Rhap-M0016-Pro,28.75,30,36,3
Rhap-M0003-Pro,29.239766,34,66,0
Rhap-D0004-Pro,40.849957,195,276,0
Rhap-D2005-Pro,32.303091,161,160,3
Rhap-D0002-Pro,40.120361,178,218,4
Rhap-M0006-Pro,32.142857,18,18,0
Rhap-D1002-Pro,32.048682,58,96,4
Rhap-D1001-Pro,34.558093,189,157,2
Rhap-M0004-Pro,13.333333,4,2,0
Rhap-D2012-Pro,36.409228,195,164,4
Rhap-D2010-Pro,48.05915,224,290,6
Rhap-M0019-Pro,30.851064,22,34,2
Rhap-M2005-Pro,20.916905,48,24,1
Rhap-M1001-Pro,35.324675,57,76,3
Rhap-M0007-Pro,28.571429,14,33,3
Rhap-M2004-Pro,26.222935,280,38,9
Rhap-D2011-Pro,39.903846,176,236,3
Rhap-D0003-Pro,49.428868,190,285,1
Rhap-D2008-Pro,50.023935,492,543,10
Rhap-M0018-Pro,24.513619,24,39,0
Rhap-D0006-Pro,56.084656,204,532,6
Rhap-M0022-Pro,27.111111,21,40,0
Rhap-D2004-Pro,52.794411,141,385,3
Rhap-M0001-Pro,21.014493,13,16,0
Rhap-M2001-Pro,10.594796,49,6,2
Rhap-D2007-Pro,58.658659,213,371,2
Rhap-M0011-Pro,23.899371,28,9,1
Rhap-M1003-Pro,35.837438,127,164,0
Rhap-M0024-Pro,26.515152,14,21,0
Rhap-D2001-Pro,47.662142,509,430,9
Rhap-D2013-Pro,15.9375,81,16,5
Rhap-M2002-Pro,39.266616,260,250,4
Rhap-D0008-Pro,38.333333,93,159,1
Rhap-M2003-Pro,11.141678,77,4,0
Rhap-M0005-Pro,18.439716,11,15,0
Rhap-D0009-Pro,66.774194,304,524,0
Rhap-M0021-Pro,21.348315,18,19,1
Rhap-D2003-Pro,80.75188,305,767,2
Rhap-M0014-Pro,25.882353,7,14,1
Rhap-M0015-Pro,30.379747,11,12,1
Rhap-D0007-Pro,43.75,32,31,0
Rhap-M0013-Pro,22.727273,10,30,0
Rhap-M0012-Pro,28.846154,9,6,0
Rhap-M0008-Pro,24.561404,3,11,0
Rhap-M0010-Pro,26.984127,10,7,0
