file,WER,S,D,I
Rhap-D0020-Pro,64.423077,10,55,2
Rhap-D2002-Pro,81.798246,47,699,0
Rhap-M0009-Pro,66.046512,17,125,0
Rhap-D0017-Pro,38.181818,5,37,0
Rhap-D2006-Pro,57.142857,25,110,1
Rhap-M0002-Pro,69.69697,11,126,1
Rhap-D2009-Pro,66.731518,31,655,0
Rhap-M0023-Pro,74.375,13,224,1
Rhap-D0005-Pro,81.847476,35,727,0
Rhap-M0016-Pro,65.0,29,127,0
Rhap-M0003-Pro,71.929825,11,235,0
Rhap-D0004-Pro,76.235906,33,843,3
Rhap-D2005-Pro,68.89332,30,659,2
Rhap-D0002-Pro,73.520562,43,689,1
Rhap-M0006-Pro,67.857143,10,66,0
Rhap-D1002-Pro,69.168357,23,316,2
Rhap-D1001-Pro,58.093347,51,534,0
Rhap-M0004-Pro,51.111111,13,10,0
Rhap-D2012-Pro,77.131394,46,723,0
Rhap-D2010-Pro,83.086876,26,873,0
Rhap-M0019-Pro,59.574468,28,82,2
Rhap-M2005-Pro,68.194842,11,227,0
Rhap-M1001-Pro,73.246753,15,265,2
Rhap-M0007-Pro,70.285714,5,118,0
Rhap-M2004-Pro,51.002406,89,541,6
Rhap-D2011-Pro,69.134615,61,655,3
Rhap-D0003-Pro,81.308411,29,754,0
Rhap-D2008-Pro,76.160843,58,1530,3
Rhap-M0018-Pro,65.758755,24,144,1
Rhap-D0006-Pro,81.405896,57,1019,1
Rhap-M0022-Pro,54.666667,15,108,0
Rhap-D2004-Pro,77.844311,56,724,0
Rhap-M0001-Pro,47.101449,8,56,1
Rhap-M2001-Pro,58.921933,18,298,1
Rhap-D2007-Pro,88.288288,15,866,1
Rhap-M0011-Pro,82.389937,13,118,0
Rhap-M1003-Pro,70.812808,37,538,0
Rhap-M0024-Pro,45.454545,1,58,1
Rhap-D2001-Pro,75.465058,91,1409,1
Rhap-D2013-Pro,67.1875,24,406,0
Rhap-M2002-Pro,70.282659,70,849,1
Rhap-D0008-Pro,77.121212,15,494,0
Rhap-M2003-Pro,62.723521,44,412,0
Rhap-M0005-Pro,60.283688,6,79,0
Rhap-D0009-Pro,87.822581,34,1052,3
Rhap-M0021-Pro,67.41573,7,113,0
Rhap-D2003-Pro,78.045113,91,945,2
Rhap-M0014-Pro,47.058824,1,38,1
Rhap-M0015-Pro,60.759494,6,42,0
Rhap-D0007-Pro,70.833333,11,91,0
Rhap-M0013-Pro,58.522727,22,81,0
Rhap-M0012-Pro,40.384615,11,10,0
Rhap-M0008-Pro,50.877193,1,28,0
Rhap-M0010-Pro,61.904762,2,37,0
