file,WER,S,D,I
MO_H_SD29_2016_05_20_ModuleDescription_description,55.932203,27,39,0
MO_H_ER21_2016_04_11_ModuleDescription_description,28.0,25,37,1
MO_F_SD22_2016_05_03_ModuleDescription_description,23.255814,14,6,0
MO_H_ER50_2017_05_29_ModuleDescription_description,17.5,8,6,0
MO_F_ER05_2016_04_06_ModuleDescription_description,10.152284,12,8,0
MO_F_ER20_2016_04_11_ModuleDescription_description,10.727969,19,8,1
MO_H_ER25_2016_04_16_ModuleDescription_description,23.75,11,27,0
MO_H_ER44_2017_01_26_ModuleDescription_description,11.153846,19,10,0
MO_H_AV39_2016_06_11_ModuleDescription_description,7.692308,5,2,0
MO_H_SD27_2016_05_20_ModuleDescription_description,75.384615,14,34,1
MO_H_AV03_2016_04_10_ModuleDescription_description,15.438596,28,16,0
MO_F_AV07_2016_06_07_ModuleDescription_description,24.299065,24,28,0
MO_F_SD06_2016_04_18_ModuleDescription_description,19.491525,10,13,0
MO_F_SD14_2016_04_25_ModuleDescription_description,22.4,28,27,1
MO_F_ER12_2016_04_07_ModuleDescription_description,15.09434,23,8,1
MO_F_ER04_2016_04_05_ModuleDescription_description,11.340206,14,7,1
MO_F_AV13_2016_04_18_ModuleDescription_description,14.373089,30,17,0
MO_H_SD31_2016_05_27_ModuleDescription_description,38.609113,91,64,6
MO_H_SD05_2016_08_22_ModuleDescription_description,19.205298,9,20,0
MO_H_SD16_2016_04_25_ModuleDescription_description,20.994475,22,16,0
MO_F_ER14_2016_04_08_ModuleDescription_description,14.814815,10,6,0
MO_H_ER46_2017_03_31_ModuleDescription_description,22.516556,16,17,1
MO_H_AV34_2016_06_07_ModuleDescription_description,15.555556,2,5,0
MO_H_ER42_2017_01_24_ModuleDescription_description,6.666667,2,0,0
MO_F_AV07_2016_04_13_ModuleDescription_description,18.454936,19,24,0
MO_H_ER11_2016_04_07_ModuleDescription_description,5.714286,3,1,0
MO_F_AV04_2016_04_12_ModuleDescription_description,32.0,31,33,0
MO_F_ER20_2016_06_08_ModuleDescription_description,16.628176,41,30,1
MO_F_SD04_2016_04_15_ModuleDescription_description,13.106796,17,7,3
MO_H_ER13_2016_04_08_ModuleDescription_description,31.707317,11,11,4
MO_F_AV16_2016_04_18_ModuleDescription_description,21.301775,19,16,1
MO_F_SD17_2016_05_03_ModuleDescription_description,13.461538,6,8,0
MO_F_AV40_2016_06_11_ModuleDescription_description,15.249267,40,11,1
MO_H_AV03_2016_06_12_ModuleDescription_description,23.099415,41,38,0
MO_F_SD17_2016_05_02_ModuleDescription_description,7.986111,14,9,0
MO_F_AV29_2016_05_25_ModuleDescription_description,23.255814,8,12,0
MO_H_ER15_2016_04_08_ModuleDescription_description,21.153846,6,3,2
MO_H_SD10_2016_08_24_ModuleDescription_description,28.104575,17,26,0
MO_H_AV12_2016_04_15_ModuleDescription_description,15.697674,15,12,0
MO_H_SD10_2016_04_22_ModuleDescription_description,40.17094,18,29,0
MO_F_SD04_2016_08_22_ModuleDescription_description,15.322581,27,9,2
MO_H_ER42_2017_03_31_ModuleDescription_description,15.0,5,1,0
MO_F_ER03_2016_04_05_ModuleDescription_description,6.111111,7,4,0
MO_H_ER07_2016_04_06_ModuleDescription_description,31.623932,19,18,0
MO_F_SD20_2016_05_02_ModuleDescription_description,16.27907,9,12,0
MO_F_AV08_2016_04_13_ModuleDescription_description,28.421053,22,31,1
MO_H_SD26_2016_05_13_ModuleDescription_description,8.928571,11,9,0
