file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,21.367521,11,14,0
MO_F_ER19_2016_04_10_ModuleDescription_description,12.162162,7,2,0
MO_H_SD36_2016_06_23_ModuleDescription_description,17.482517,14,11,0
MO_H_SD11_2016_04_25_ModuleDescription_description,17.105263,26,11,2
MO_H_AV18_2016_04_18_ModuleDescription_description,27.848101,10,11,1
MO_F_ER02_2016_04_04_ModuleDescription_description,13.953488,4,2,0
MO_F_SD24_2016_05_03_ModuleDescription_description,18.817204,15,18,2
MO_H_ER24_2016_04_15_ModuleDescription_description,31.25,26,22,2
MO_F_AV27_2016_05_14_ModuleDescription_description,19.417476,17,23,0
MO_F_SD22_2016_05_03_ModuleDescription_description,25.301205,14,5,2
MO_F_SD33_2016_06_22_ModuleDescription_description,41.618497,133,147,8
MO_F_AV09_2016_04_15_ModuleDescription_description,29.811321,38,40,1
MO_H_ER09_2016_04_07_ModuleDescription_description,13.076923,7,7,3
MO_F_AV25_2016_05_14_ModuleDescription_description,10.569106,9,3,1
MO_H_ER47_2017_03_31_ModuleDescription_description,35.682819,33,41,7
MO_H_SD13_2016_08_13_ModuleDescription_description,19.036145,43,36,0
MO_H_ER47_2017_01_27_ModuleDescription_description,35.406699,25,47,2
MO_F_ER08_2016_06_08_ModuleDescription_description,22.44898,22,11,0
MO_F_AV01_2016_04_08_ModuleDescription_description,14.693878,26,10,0
MO_H_ER40_2017_01_24_ModuleDescription_description,17.857143,3,7,0
MO_H_AV10_2016_04_15_ModuleDescription_description,10.638298,9,0,1
MO_H_AV24_2016_05_14_ModuleDescription_description,4.705882,2,2,0
MO_F_SD18_2016_05_02_ModuleDescription_description,14.285714,13,11,0
MO_F_ER08_2016_04_07_ModuleDescription_description,25.786164,28,12,1
MO_F_AV14_2016_04_18_ModuleDescription_description,46.875,20,5,5
MO_H_ER48_2017_04_08_ModuleDescription_description,15.178571,8,8,1
MO_H_ER23_2016_04_14_ModuleDescription_description,23.170732,15,21,2
MO_H_AV22_2016_04_19_ModuleDescription_description,16.666667,17,8,1
MO_H_ER17_2016_04_08_ModuleDescription_description,20.125786,16,16,0
MO_F_SD28_2016_05_20_ModuleDescription_description,22.043011,16,25,0
MO_H_AV33_2016_06_06_ModuleDescription_description,21.212121,17,9,2
MO_F_AV26_2016_05_14_ModuleDescription_description,16.574586,16,12,2
MO_H_AV38_2016_06_10_ModuleDescription_description,24.0,10,8,0
MO_F_AV23_2016_04_19_ModuleDescription_description,27.108434,26,18,1
MO_F_SD32_2016_06_16_ModuleDescription_description,28.248588,22,26,2
MO_F_ER16_2016_04_08_ModuleDescription_description,23.75,8,11,0
MO_H_ER49_2017_06_08_ModuleDescription_description,32.989691,16,13,3
MO_F_ER02_2016_06_08_ModuleDescription_description,34.285714,5,7,0
MO_H_AV30_2016_06_05_ModuleDescription_description,21.428571,9,20,1
MO_F_SD12_2016_04_25_ModuleDescription_description,34.690265,103,87,6
MO_H_SD25_2016_05_12_ModuleDescription_description,14.344262,21,13,1
MO_H_SD13_2016_04_25_ModuleDescription_description,14.868805,29,19,3
MO_F_SD38_2016_06_28_ModuleDescription_description,23.152709,25,21,1
MO_F_ER18_2016_04_08_ModuleDescription_description,10.264901,24,5,2
MO_F_ER06_2016_04_06_ModuleDescription_description,64.583333,13,18,0
MO_F_ER22_2016_04_12_ModuleDescription_description,44.715447,21,34,0
MO_H_ER27_2016_04_18_ModuleDescription_description,11.111111,12,5,0
MO_H_ER40_2017_05_23_ModuleDescription_description,32.835821,14,28,2
MO_F_SD19_2016_05_02_ModuleDescription_description,24.137931,9,12,0
MO_F_ER10_2016_04_07_ModuleDescription_description,24.873096,28,20,1
MO_H_ER41_2017_01_24_ModuleDescription_description,8.917197,14,0,0
MO_H_AV22_2016_06_09_ModuleDescription_description,12.334802,21,6,1
MO_F_SD35_2016_06_23_ModuleDescription_description,37.022901,37,60,0
MO_H_SD07_2016_04_22_ModuleDescription_description,40.277778,17,11,1
MO_F_AV36_2016_06_07_ModuleDescription_description,41.568627,229,186,9
MO_H_ER41_2017_05_29_ModuleDescription_description,13.592233,11,3,0
MO_H_AV19_2016_04_18_ModuleDescription_description,37.5,14,10,3
MO_F_SD08_2016_04_22_ModuleDescription_description,14.96063,9,8,2
MO_F_ER26_2016_04_18_ModuleDescription_description,30.612245,18,27,0
MO_H_AV37_2016_06_08_ModuleDescription_description,17.117117,8,11,0
MO_H_ER09_2016_06_08_ModuleDescription_description,14.84375,9,9,1
MO_H_ER43_2017_01_24_ModuleDescription_description,21.238938,12,11,1
MO_F_AV06_2016_04_13_ModuleDescription_description,49.180328,9,21,0
MO_H_ER43_2017_05_23_ModuleDescription_description,33.879781,31,29,2
MO_F_AV17_2016_04_18_ModuleDescription_description,27.083333,13,13,0
MO_H_SD30_2016_05_21_ModuleDescription_description,25.0,17,20,1
MO_F_AV21_2016_04_18_ModuleDescription_description,23.571429,23,7,3
MO_H_ER49_2017_01_28_ModuleDescription_description,37.373737,19,14,4
