file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,21.367521,14,9,2
MO_F_ER19_2016_04_10_ModuleDescription_description,10.810811,5,1,2
MO_H_SD36_2016_06_23_ModuleDescription_description,14.685315,16,5,0
MO_H_SD11_2016_04_25_ModuleDescription_description,18.859649,29,7,7
MO_H_AV18_2016_04_18_ModuleDescription_description,26.582278,8,11,2
MO_F_ER02_2016_04_04_ModuleDescription_description,25.581395,5,1,5
MO_F_SD24_2016_05_03_ModuleDescription_description,18.817204,19,13,3
MO_H_ER24_2016_04_15_ModuleDescription_description,26.875,21,13,9
MO_F_AV27_2016_05_14_ModuleDescription_description,20.38835,25,15,2
MO_F_SD22_2016_05_03_ModuleDescription_description,21.686747,12,3,3
MO_F_SD33_2016_06_22_ModuleDescription_description,36.99422,121,108,27
MO_F_AV09_2016_04_15_ModuleDescription_description,31.698113,39,39,6
MO_H_ER09_2016_04_07_ModuleDescription_description,23.846154,22,4,5
MO_F_AV25_2016_05_14_ModuleDescription_description,13.00813,13,2,1
MO_H_ER47_2017_03_31_ModuleDescription_description,41.85022,46,33,16
MO_H_SD13_2016_08_13_ModuleDescription_description,15.903614,44,16,6
MO_H_ER47_2017_01_27_ModuleDescription_description,41.626794,34,50,3
MO_F_ER08_2016_06_08_ModuleDescription_description,31.972789,30,16,1
MO_F_AV01_2016_04_08_ModuleDescription_description,13.469388,23,8,2
MO_H_ER40_2017_01_24_ModuleDescription_description,21.428571,7,3,2
MO_H_AV10_2016_04_15_ModuleDescription_description,18.085106,8,3,6
MO_H_AV24_2016_05_14_ModuleDescription_description,14.117647,7,5,0
MO_F_SD18_2016_05_02_ModuleDescription_description,16.666667,18,7,3
MO_F_ER08_2016_04_07_ModuleDescription_description,25.786164,24,15,2
MO_F_AV14_2016_04_18_ModuleDescription_description,59.375,21,4,13
MO_H_ER48_2017_04_08_ModuleDescription_description,21.428571,10,8,6
MO_H_ER23_2016_04_14_ModuleDescription_description,25.0,19,18,4
MO_H_AV22_2016_04_19_ModuleDescription_description,22.435897,26,6,3
MO_H_ER17_2016_04_08_ModuleDescription_description,27.044025,25,14,4
MO_F_SD28_2016_05_20_ModuleDescription_description,31.182796,27,28,3
MO_H_AV33_2016_06_06_ModuleDescription_description,27.272727,19,10,7
MO_F_AV26_2016_05_14_ModuleDescription_description,43.093923,29,49,0
MO_H_AV38_2016_06_10_ModuleDescription_description,20.0,9,5,1
MO_F_AV23_2016_04_19_ModuleDescription_description,30.722892,25,22,4
MO_F_SD32_2016_06_16_ModuleDescription_description,28.248588,28,8,14
MO_F_ER16_2016_04_08_ModuleDescription_description,22.5,7,10,1
MO_H_ER49_2017_06_08_ModuleDescription_description,24.742268,16,4,4
MO_F_ER02_2016_06_08_ModuleDescription_description,51.428571,11,4,3
MO_H_AV30_2016_06_05_ModuleDescription_description,20.714286,15,11,3
MO_F_SD12_2016_04_25_ModuleDescription_description,26.371681,76,49,24
MO_H_SD25_2016_05_12_ModuleDescription_description,13.934426,13,19,2
MO_H_SD13_2016_04_25_ModuleDescription_description,16.909621,29,7,22
MO_F_SD38_2016_06_28_ModuleDescription_description,30.049261,35,21,5
MO_F_ER18_2016_04_08_ModuleDescription_description,13.576159,23,12,6
MO_F_ER06_2016_04_06_ModuleDescription_description,68.75,20,11,2
MO_F_ER22_2016_04_12_ModuleDescription_description,53.658537,31,33,2
MO_H_ER27_2016_04_18_ModuleDescription_description,11.764706,8,8,2
MO_H_ER40_2017_05_23_ModuleDescription_description,28.358209,20,16,2
MO_F_SD19_2016_05_02_ModuleDescription_description,28.735632,12,12,1
MO_F_ER10_2016_04_07_ModuleDescription_description,21.827411,23,16,4
MO_H_ER41_2017_01_24_ModuleDescription_description,14.649682,15,1,7
MO_H_AV22_2016_06_09_ModuleDescription_description,17.180617,25,11,3
MO_F_SD35_2016_06_23_ModuleDescription_description,35.114504,49,42,1
MO_H_SD07_2016_04_22_ModuleDescription_description,44.444444,17,15,0
MO_F_AV36_2016_06_07_ModuleDescription_description,28.627451,135,140,17
MO_H_ER41_2017_05_29_ModuleDescription_description,11.650485,10,2,0
MO_H_AV19_2016_04_18_ModuleDescription_description,36.111111,11,7,8
MO_F_SD08_2016_04_22_ModuleDescription_description,31.496063,18,8,14
MO_F_ER26_2016_04_18_ModuleDescription_description,26.530612,17,19,3
MO_H_AV37_2016_06_08_ModuleDescription_description,26.126126,13,13,3
MO_H_ER09_2016_06_08_ModuleDescription_description,14.84375,11,7,1
MO_H_ER43_2017_01_24_ModuleDescription_description,23.00885,14,9,3
MO_F_AV06_2016_04_13_ModuleDescription_description,68.852459,20,16,6
MO_H_ER43_2017_05_23_ModuleDescription_description,30.054645,32,18,5
MO_F_AV17_2016_04_18_ModuleDescription_description,20.833333,8,10,2
MO_H_SD30_2016_05_21_ModuleDescription_description,25.0,16,14,8
MO_F_AV21_2016_04_18_ModuleDescription_description,30.0,22,10,10
MO_H_ER49_2017_01_28_ModuleDescription_description,28.282828,16,6,6
