file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,34.188034,22,13,5
MO_F_ER19_2016_04_10_ModuleDescription_description,28.378378,16,4,1
MO_H_SD36_2016_06_23_ModuleDescription_description,18.181818,17,4,5
MO_H_SD11_2016_04_25_ModuleDescription_description,20.175439,23,13,10
MO_H_AV18_2016_04_18_ModuleDescription_description,32.911392,13,9,4
MO_F_ER02_2016_04_04_ModuleDescription_description,51.162791,19,2,1
MO_F_SD24_2016_05_03_ModuleDescription_description,17.741935,14,5,14
MO_H_ER24_2016_04_15_ModuleDescription_description,43.75,46,9,15
MO_F_AV27_2016_05_14_ModuleDescription_description,23.786408,31,13,5
MO_F_SD22_2016_05_03_ModuleDescription_description,36.144578,19,5,6
MO_F_SD33_2016_06_22_ModuleDescription_description,35.115607,122,56,65
MO_F_AV09_2016_04_15_ModuleDescription_description,26.415094,42,20,8
MO_H_ER09_2016_04_07_ModuleDescription_description,36.153846,28,9,10
MO_F_AV25_2016_05_14_ModuleDescription_description,17.073171,13,6,2
MO_H_ER47_2017_03_31_ModuleDescription_description,37.444934,46,17,22
MO_H_SD13_2016_08_13_ModuleDescription_description,31.084337,62,13,54
MO_H_ER47_2017_01_27_ModuleDescription_description,40.669856,38,44,3
MO_F_ER08_2016_06_08_ModuleDescription_description,48.979592,52,16,4
MO_F_AV01_2016_04_08_ModuleDescription_description,22.857143,34,9,13
MO_H_ER40_2017_01_24_ModuleDescription_description,35.714286,12,4,4
MO_H_AV10_2016_04_15_ModuleDescription_description,30.851064,21,5,3
MO_H_AV24_2016_05_14_ModuleDescription_description,11.764706,7,2,1
MO_F_SD18_2016_05_02_ModuleDescription_description,23.214286,24,8,7
MO_F_ER08_2016_04_07_ModuleDescription_description,43.396226,50,14,5
MO_F_AV14_2016_04_18_ModuleDescription_description,75.0,24,6,18
MO_H_ER48_2017_04_08_ModuleDescription_description,33.928571,26,5,7
MO_H_ER23_2016_04_14_ModuleDescription_description,33.536585,35,10,10
MO_H_AV22_2016_04_19_ModuleDescription_description,26.282051,26,6,9
MO_H_ER17_2016_04_08_ModuleDescription_description,30.188679,26,10,12
MO_F_SD28_2016_05_20_ModuleDescription_description,27.419355,30,18,3
MO_H_AV33_2016_06_06_ModuleDescription_description,34.848485,30,8,8
MO_F_AV26_2016_05_14_ModuleDescription_description,42.541436,18,49,10
MO_H_AV38_2016_06_10_ModuleDescription_description,37.333333,18,8,2
MO_F_AV23_2016_04_19_ModuleDescription_description,42.168675,42,17,11
MO_F_SD32_2016_06_16_ModuleDescription_description,36.723164,41,3,21
MO_F_ER16_2016_04_08_ModuleDescription_description,38.75,16,10,5
MO_H_ER49_2017_06_08_ModuleDescription_description,58.762887,32,8,17
MO_F_ER02_2016_06_08_ModuleDescription_description,37.142857,9,3,1
MO_H_AV30_2016_06_05_ModuleDescription_description,18.571429,18,5,3
MO_F_SD12_2016_04_25_ModuleDescription_description,27.256637,104,21,29
MO_H_SD25_2016_05_12_ModuleDescription_description,21.311475,32,15,5
MO_H_SD13_2016_04_25_ModuleDescription_description,28.862974,42,8,49
MO_F_SD38_2016_06_28_ModuleDescription_description,35.46798,41,20,11
MO_F_ER18_2016_04_08_ModuleDescription_description,22.516556,46,6,16
MO_F_ER06_2016_04_06_ModuleDescription_description,56.25,18,9,0
MO_F_ER22_2016_04_12_ModuleDescription_description,46.341463,27,25,5
MO_H_ER27_2016_04_18_ModuleDescription_description,18.300654,20,7,1
MO_H_ER40_2017_05_23_ModuleDescription_description,35.074627,26,13,8
MO_F_SD19_2016_05_02_ModuleDescription_description,26.436782,15,1,7
MO_F_ER10_2016_04_07_ModuleDescription_description,34.517766,38,18,12
MO_H_ER41_2017_01_24_ModuleDescription_description,38.216561,47,10,3
MO_H_AV22_2016_06_09_ModuleDescription_description,27.312775,40,4,18
MO_F_SD35_2016_06_23_ModuleDescription_description,31.29771,56,19,7
MO_H_SD07_2016_04_22_ModuleDescription_description,48.611111,25,9,1
MO_F_AV36_2016_06_07_ModuleDescription_description,23.235294,119,52,66
MO_H_ER41_2017_05_29_ModuleDescription_description,34.951456,25,4,7
MO_H_AV19_2016_04_18_ModuleDescription_description,47.222222,18,4,12
MO_F_SD08_2016_04_22_ModuleDescription_description,28.346457,16,5,15
MO_F_ER26_2016_04_18_ModuleDescription_description,36.734694,29,18,7
MO_H_AV37_2016_06_08_ModuleDescription_description,21.621622,17,6,1
MO_H_ER09_2016_06_08_ModuleDescription_description,32.8125,26,9,7
MO_H_ER43_2017_01_24_ModuleDescription_description,24.778761,17,6,5
MO_F_AV06_2016_04_13_ModuleDescription_description,49.180328,17,6,7
MO_H_ER43_2017_05_23_ModuleDescription_description,45.901639,54,23,7
MO_F_AV17_2016_04_18_ModuleDescription_description,31.25,14,11,5
MO_H_SD30_2016_05_21_ModuleDescription_description,28.947368,20,10,14
MO_F_AV21_2016_04_18_ModuleDescription_description,33.571429,26,8,13
MO_H_ER49_2017_01_28_ModuleDescription_description,61.616162,40,3,18
