file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,23.076923,16,9,2
MO_F_ER19_2016_04_10_ModuleDescription_description,32.432432,15,3,6
MO_H_SD36_2016_06_23_ModuleDescription_description,13.986014,14,5,1
MO_H_SD11_2016_04_25_ModuleDescription_description,18.859649,25,9,9
MO_H_AV18_2016_04_18_ModuleDescription_description,22.78481,10,6,2
MO_F_ER02_2016_04_04_ModuleDescription_description,51.162791,16,4,2
MO_F_SD24_2016_05_03_ModuleDescription_description,16.129032,17,4,9
MO_H_ER24_2016_04_15_ModuleDescription_description,42.5,49,11,8
MO_F_AV27_2016_05_14_ModuleDescription_description,18.446602,27,8,3
MO_F_SD22_2016_05_03_ModuleDescription_description,19.277108,10,4,2
MO_F_SD33_2016_06_22_ModuleDescription_description,35.83815,143,82,23
MO_F_AV09_2016_04_15_ModuleDescription_description,26.792453,38,26,7
MO_H_ER09_2016_04_07_ModuleDescription_description,23.076923,18,6,6
MO_F_AV25_2016_05_14_ModuleDescription_description,20.325203,19,3,3
MO_H_ER47_2017_03_31_ModuleDescription_description,37.444934,43,14,28
MO_H_SD13_2016_08_13_ModuleDescription_description,18.313253,36,17,23
MO_H_ER47_2017_01_27_ModuleDescription_description,39.23445,44,35,3
MO_F_ER08_2016_06_08_ModuleDescription_description,32.653061,32,14,2
MO_F_AV01_2016_04_08_ModuleDescription_description,14.285714,18,10,7
MO_H_ER40_2017_01_24_ModuleDescription_description,33.928571,8,9,2
MO_H_AV10_2016_04_15_ModuleDescription_description,11.702128,10,0,1
MO_H_AV24_2016_05_14_ModuleDescription_description,8.235294,4,2,1
MO_F_SD18_2016_05_02_ModuleDescription_description,11.309524,13,3,3
MO_F_ER08_2016_04_07_ModuleDescription_description,31.446541,36,5,9
MO_F_AV14_2016_04_18_ModuleDescription_description,54.6875,21,5,9
MO_H_ER48_2017_04_08_ModuleDescription_description,28.571429,15,16,1
MO_H_ER23_2016_04_14_ModuleDescription_description,33.536585,26,21,8
MO_H_AV22_2016_04_19_ModuleDescription_description,23.076923,23,8,5
MO_H_ER17_2016_04_08_ModuleDescription_description,26.415094,18,12,12
MO_F_SD28_2016_05_20_ModuleDescription_description,28.494624,33,15,5
MO_H_AV33_2016_06_06_ModuleDescription_description,25.757576,22,6,6
MO_F_AV26_2016_05_14_ModuleDescription_description,19.337017,12,14,9
MO_H_AV38_2016_06_10_ModuleDescription_description,25.333333,11,7,1
MO_F_AV23_2016_04_19_ModuleDescription_description,34.337349,28,20,9
MO_F_SD32_2016_06_16_ModuleDescription_description,23.728814,28,7,7
MO_F_ER16_2016_04_08_ModuleDescription_description,23.75,10,9,0
MO_H_ER49_2017_06_08_ModuleDescription_description,41.237113,25,7,8
MO_F_ER02_2016_06_08_ModuleDescription_description,54.285714,8,11,0
MO_H_AV30_2016_06_05_ModuleDescription_description,17.857143,14,10,1
MO_F_SD12_2016_04_25_ModuleDescription_description,25.840708,83,39,24
MO_H_SD25_2016_05_12_ModuleDescription_description,21.721311,33,17,3
MO_H_SD13_2016_04_25_ModuleDescription_description,17.201166,26,7,26
MO_F_SD38_2016_06_28_ModuleDescription_description,26.600985,33,16,5
MO_F_ER18_2016_04_08_ModuleDescription_description,14.238411,26,7,10
MO_F_ER06_2016_04_06_ModuleDescription_description,39.583333,8,9,2
MO_F_ER22_2016_04_12_ModuleDescription_description,39.837398,22,21,6
MO_H_ER27_2016_04_18_ModuleDescription_description,20.915033,23,5,4
MO_H_ER40_2017_05_23_ModuleDescription_description,35.820896,21,22,5
MO_F_SD19_2016_05_02_ModuleDescription_description,19.54023,9,6,2
MO_F_ER10_2016_04_07_ModuleDescription_description,22.335025,28,11,5
MO_H_ER41_2017_01_24_ModuleDescription_description,28.025478,36,7,1
MO_H_AV22_2016_06_09_ModuleDescription_description,20.704846,29,8,10
MO_F_SD35_2016_06_23_ModuleDescription_description,30.152672,47,28,4
MO_H_SD07_2016_04_22_ModuleDescription_description,34.722222,13,10,2
MO_F_AV36_2016_06_07_ModuleDescription_description,20.0,106,55,43
MO_H_ER41_2017_05_29_ModuleDescription_description,33.980583,22,7,6
MO_H_AV19_2016_04_18_ModuleDescription_description,40.277778,17,7,5
MO_F_SD08_2016_04_22_ModuleDescription_description,22.834646,14,5,10
MO_F_ER26_2016_04_18_ModuleDescription_description,27.891156,21,19,1
MO_H_AV37_2016_06_08_ModuleDescription_description,15.315315,5,10,2
MO_H_ER09_2016_06_08_ModuleDescription_description,17.1875,13,6,3
MO_H_ER43_2017_01_24_ModuleDescription_description,35.39823,20,12,8
MO_F_AV06_2016_04_13_ModuleDescription_description,52.459016,19,11,2
MO_H_ER43_2017_05_23_ModuleDescription_description,49.726776,63,21,7
MO_F_AV17_2016_04_18_ModuleDescription_description,22.916667,12,10,0
MO_H_SD30_2016_05_21_ModuleDescription_description,25.0,14,10,14
MO_F_AV21_2016_04_18_ModuleDescription_description,31.428571,26,4,14
MO_H_ER49_2017_01_28_ModuleDescription_description,45.454545,23,9,13
