file,WER,S,D,I
MO_H_SD29_2016_05_20_ModuleDescription_description,55.932203,27,39,0
MO_H_ER21_2016_04_11_ModuleDescription_description,28.444444,26,37,1
MO_F_SD22_2016_05_03_ModuleDescription_description,22.093023,13,6,0
MO_H_ER50_2017_05_29_ModuleDescription_description,17.5,8,6,0
MO_F_ER05_2016_04_06_ModuleDescription_description,12.182741,14,10,0
MO_F_ER20_2016_04_11_ModuleDescription_description,10.727969,19,8,1
MO_H_ER25_2016_04_16_ModuleDescription_description,23.75,11,27,0
MO_H_ER44_2017_01_26_ModuleDescription_description,11.538462,19,11,0
MO_H_AV39_2016_06_11_ModuleDescription_description,8.791209,5,3,0
MO_H_SD27_2016_05_20_ModuleDescription_description,73.846154,14,33,1
MO_H_AV03_2016_04_10_ModuleDescription_description,16.140351,29,17,0
MO_F_AV07_2016_06_07_ModuleDescription_description,24.766355,26,27,0
MO_F_SD06_2016_04_18_ModuleDescription_description,20.338983,11,13,0
MO_F_SD14_2016_04_25_ModuleDescription_description,22.0,27,27,1
MO_F_ER12_2016_04_07_ModuleDescription_description,15.09434,24,8,0
MO_F_ER04_2016_04_05_ModuleDescription_description,13.402062,17,8,1
MO_F_AV13_2016_04_18_ModuleDescription_description,14.678899,30,18,0
MO_H_SD31_2016_05_27_ModuleDescription_description,38.129496,91,63,5
MO_H_SD05_2016_08_22_ModuleDescription_description,20.529801,12,19,0
MO_H_SD16_2016_04_25_ModuleDescription_description,21.546961,23,16,0
MO_F_ER14_2016_04_08_ModuleDescription_description,14.814815,10,6,0
MO_H_ER46_2017_03_31_ModuleDescription_description,21.854305,15,17,1
MO_H_AV34_2016_06_07_ModuleDescription_description,17.777778,3,5,0
MO_H_ER42_2017_01_24_ModuleDescription_description,6.666667,2,0,0
MO_F_AV07_2016_04_13_ModuleDescription_description,18.88412,21,23,0
MO_H_ER11_2016_04_07_ModuleDescription_description,8.571429,5,1,0
MO_F_AV04_2016_04_12_ModuleDescription_description,33.5,33,34,0
MO_F_ER20_2016_06_08_ModuleDescription_description,17.78291,46,30,1
MO_F_SD04_2016_04_15_ModuleDescription_description,14.07767,18,8,3
MO_H_ER13_2016_04_08_ModuleDescription_description,30.487805,14,8,3
MO_F_AV16_2016_04_18_ModuleDescription_description,21.301775,19,16,1
MO_F_SD17_2016_05_03_ModuleDescription_description,16.346154,9,8,0
MO_F_AV40_2016_06_11_ModuleDescription_description,14.369501,38,9,2
MO_H_AV03_2016_06_12_ModuleDescription_description,25.146199,47,39,0
MO_F_SD17_2016_05_02_ModuleDescription_description,8.680556,17,8,0
MO_F_AV29_2016_05_25_ModuleDescription_description,23.255814,8,12,0
MO_H_ER15_2016_04_08_ModuleDescription_description,21.153846,6,3,2
MO_H_SD10_2016_08_24_ModuleDescription_description,28.75817,17,27,0
MO_H_AV12_2016_04_15_ModuleDescription_description,15.116279,14,12,0
MO_H_SD10_2016_04_22_ModuleDescription_description,39.316239,19,27,0
MO_F_SD04_2016_08_22_ModuleDescription_description,15.322581,26,10,2
MO_H_ER42_2017_03_31_ModuleDescription_description,15.0,5,1,0
MO_F_ER03_2016_04_05_ModuleDescription_description,6.666667,8,4,0
MO_H_ER07_2016_04_06_ModuleDescription_description,31.623932,19,18,0
MO_F_SD20_2016_05_02_ModuleDescription_description,16.27907,9,12,0
MO_F_AV08_2016_04_13_ModuleDescription_description,29.473684,24,32,0
MO_H_SD26_2016_05_13_ModuleDescription_description,9.821429,12,10,0
