file,WER,S,D,I
MO_H_SD29_2016_05_20_ModuleDescription_description,73.728814,16,71,0
MO_H_ER21_2016_04_11_ModuleDescription_description,81.777778,6,178,0
MO_F_SD22_2016_05_03_ModuleDescription_description,72.093023,3,59,0
MO_H_ER50_2017_05_29_ModuleDescription_description,61.25,7,41,1
MO_F_ER05_2016_04_06_ModuleDescription_description,50.253807,30,69,0
MO_F_ER20_2016_04_11_ModuleDescription_description,77.777778,4,199,0
MO_H_ER25_2016_04_16_ModuleDescription_description,58.75,35,58,1
MO_H_ER44_2017_01_26_ModuleDescription_description,67.307692,16,159,0
MO_H_AV39_2016_06_11_ModuleDescription_description,78.021978,4,67,0
MO_H_SD27_2016_05_20_ModuleDescription_description,83.076923,19,35,0
MO_H_AV03_2016_04_10_ModuleDescription_description,69.473684,9,189,0
MO_F_AV07_2016_06_07_ModuleDescription_description,61.682243,14,118,0
MO_F_SD06_2016_04_18_ModuleDescription_description,65.254237,6,71,0
MO_F_SD14_2016_04_25_ModuleDescription_description,56.0,11,128,1
MO_F_ER12_2016_04_07_ModuleDescription_description,63.207547,15,117,2
MO_F_ER04_2016_04_05_ModuleDescription_description,63.917526,4,120,0
MO_F_AV13_2016_04_18_ModuleDescription_description,63.914373,13,195,1
MO_H_SD31_2016_05_27_ModuleDescription_description,75.29976,30,282,2
MO_H_SD05_2016_08_22_ModuleDescription_description,49.668874,11,64,0
MO_H_SD16_2016_04_25_ModuleDescription_description,58.563536,16,78,12
MO_F_ER14_2016_04_08_ModuleDescription_description,44.444444,8,40,0
MO_H_ER46_2017_03_31_ModuleDescription_description,53.642384,26,51,4
MO_H_AV34_2016_06_07_ModuleDescription_description,33.333333,4,11,0
MO_H_ER42_2017_01_24_ModuleDescription_description,43.333333,2,10,1
MO_F_AV07_2016_04_13_ModuleDescription_description,64.806867,1,149,1
MO_H_ER11_2016_04_07_ModuleDescription_description,77.142857,4,50,0
MO_F_AV04_2016_04_12_ModuleDescription_description,55.5,29,82,0
MO_F_ER20_2016_06_08_ModuleDescription_description,60.508083,6,255,1
MO_F_SD04_2016_04_15_ModuleDescription_description,84.951456,9,166,0
MO_H_ER13_2016_04_08_ModuleDescription_description,74.390244,7,54,0
MO_F_AV16_2016_04_18_ModuleDescription_description,57.39645,8,89,0
MO_F_SD17_2016_05_03_ModuleDescription_description,32.692308,3,31,0
MO_F_AV40_2016_06_11_ModuleDescription_description,78.005865,4,262,0
MO_H_AV03_2016_06_12_ModuleDescription_description,52.339181,15,164,0
MO_F_SD17_2016_05_02_ModuleDescription_description,57.291667,10,155,0
MO_F_AV29_2016_05_25_ModuleDescription_description,50.0,2,41,0
MO_H_ER15_2016_04_08_ModuleDescription_description,57.692308,5,24,1
MO_H_SD10_2016_08_24_ModuleDescription_description,67.973856,16,87,1
MO_H_AV12_2016_04_15_ModuleDescription_description,72.093023,9,115,0
MO_H_SD10_2016_04_22_ModuleDescription_description,67.521368,1,78,0
MO_F_SD04_2016_08_22_ModuleDescription_description,61.693548,18,134,1
MO_H_ER42_2017_03_31_ModuleDescription_description,77.5,1,30,0
MO_F_ER03_2016_04_05_ModuleDescription_description,58.888889,1,105,0
MO_H_ER07_2016_04_06_ModuleDescription_description,58.119658,2,66,0
MO_F_SD20_2016_05_02_ModuleDescription_description,48.837209,15,47,1
MO_F_AV08_2016_04_13_ModuleDescription_description,46.842105,14,73,2
MO_H_SD26_2016_05_13_ModuleDescription_description,54.017857,5,116,0
