file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,33.333333,6,31,2
MO_F_ER19_2016_04_10_ModuleDescription_description,68.918919,2,49,0
MO_H_SD36_2016_06_23_ModuleDescription_description,59.440559,14,70,1
MO_H_SD11_2016_04_25_ModuleDescription_description,71.929825,32,132,0
MO_H_AV18_2016_04_18_ModuleDescription_description,45.56962,5,31,0
MO_F_ER02_2016_04_04_ModuleDescription_description,60.465116,5,21,0
MO_F_SD24_2016_05_03_ModuleDescription_description,62.903226,29,87,1
MO_H_ER24_2016_04_15_ModuleDescription_description,59.375,10,84,1
MO_F_AV27_2016_05_14_ModuleDescription_description,64.07767,9,123,0
MO_F_SD22_2016_05_03_ModuleDescription_description,66.26506,1,53,1
MO_F_SD33_2016_06_22_ModuleDescription_description,80.924855,33,521,6
MO_F_AV09_2016_04_15_ModuleDescription_description,67.924528,17,163,0
MO_H_ER09_2016_04_07_ModuleDescription_description,64.615385,6,78,0
MO_F_AV25_2016_05_14_ModuleDescription_description,48.780488,2,58,0
MO_H_ER47_2017_03_31_ModuleDescription_description,75.330396,5,166,0
MO_H_SD13_2016_08_13_ModuleDescription_description,62.891566,18,242,1
MO_H_ER47_2017_01_27_ModuleDescription_description,68.899522,7,136,1
MO_F_ER08_2016_06_08_ModuleDescription_description,53.061224,19,59,0
MO_F_AV01_2016_04_08_ModuleDescription_description,58.367347,5,137,1
MO_H_ER40_2017_01_24_ModuleDescription_description,75.0,1,41,0
MO_H_AV10_2016_04_15_ModuleDescription_description,46.808511,4,39,1
MO_H_AV24_2016_05_14_ModuleDescription_description,44.705882,14,23,1
MO_F_SD18_2016_05_02_ModuleDescription_description,68.452381,3,111,1
MO_F_ER08_2016_04_07_ModuleDescription_description,62.893082,12,88,0
MO_F_AV14_2016_04_18_ModuleDescription_description,64.0625,15,25,1
MO_H_ER48_2017_04_08_ModuleDescription_description,48.214286,4,50,0
MO_H_ER23_2016_04_14_ModuleDescription_description,49.390244,26,55,0
MO_H_AV22_2016_04_19_ModuleDescription_description,50.641026,12,66,1
MO_H_ER17_2016_04_08_ModuleDescription_description,74.213836,9,109,0
MO_F_SD28_2016_05_20_ModuleDescription_description,63.978495,2,117,0
MO_H_AV33_2016_06_06_ModuleDescription_description,72.727273,12,82,2
MO_F_AV26_2016_05_14_ModuleDescription_description,70.165746,3,124,0
MO_H_AV38_2016_06_10_ModuleDescription_description,53.333333,10,29,1
MO_F_AV23_2016_04_19_ModuleDescription_description,62.048193,6,97,0
MO_F_SD32_2016_06_16_ModuleDescription_description,55.932203,21,78,0
MO_F_ER16_2016_04_08_ModuleDescription_description,55.0,25,16,3
MO_H_ER49_2017_06_08_ModuleDescription_description,98.969072,11,85,0
MO_F_ER02_2016_06_08_ModuleDescription_description,71.428571,1,24,0
MO_H_AV30_2016_06_05_ModuleDescription_description,65.0,7,84,0
MO_F_SD12_2016_04_25_ModuleDescription_description,69.734513,30,360,4
MO_H_SD25_2016_05_12_ModuleDescription_description,55.327869,4,130,1
MO_H_SD13_2016_04_25_ModuleDescription_description,74.052478,7,247,0
MO_F_SD38_2016_06_28_ModuleDescription_description,54.187192,11,99,0
MO_F_ER18_2016_04_08_ModuleDescription_description,59.271523,15,163,1
MO_F_ER06_2016_04_06_ModuleDescription_description,33.333333,7,9,0
MO_F_ER22_2016_04_12_ModuleDescription_description,78.861789,8,88,1
MO_H_ER27_2016_04_18_ModuleDescription_description,42.48366,14,51,0
MO_H_ER40_2017_05_23_ModuleDescription_description,61.940299,24,50,9
MO_F_SD19_2016_05_02_ModuleDescription_description,59.770115,3,49,0
MO_F_ER10_2016_04_07_ModuleDescription_description,65.989848,11,118,1
MO_H_ER41_2017_01_24_ModuleDescription_description,68.789809,6,102,0
MO_H_AV22_2016_06_09_ModuleDescription_description,52.863436,32,87,1
MO_F_SD35_2016_06_23_ModuleDescription_description,74.427481,8,187,0
MO_H_SD07_2016_04_22_ModuleDescription_description,61.111111,9,34,1
MO_F_AV36_2016_06_07_ModuleDescription_description,77.45098,25,764,1
MO_H_ER41_2017_05_29_ModuleDescription_description,58.252427,6,52,2
MO_H_AV19_2016_04_18_ModuleDescription_description,79.166667,0,57,0
MO_F_SD08_2016_04_22_ModuleDescription_description,41.732283,9,44,0
MO_F_ER26_2016_04_18_ModuleDescription_description,68.707483,3,98,0
MO_H_AV37_2016_06_08_ModuleDescription_description,79.279279,3,85,0
MO_H_ER09_2016_06_08_ModuleDescription_description,70.3125,1,89,0
MO_H_ER43_2017_01_24_ModuleDescription_description,54.867257,4,58,0
MO_F_AV06_2016_04_13_ModuleDescription_description,67.213115,26,15,0
MO_H_ER43_2017_05_23_ModuleDescription_description,74.863388,10,126,1
MO_F_AV17_2016_04_18_ModuleDescription_description,38.541667,6,31,0
MO_H_SD30_2016_05_21_ModuleDescription_description,65.131579,13,83,3
MO_F_AV21_2016_04_18_ModuleDescription_description,57.142857,9,71,0
MO_H_ER49_2017_01_28_ModuleDescription_description,71.717172,9,57,5
