file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,23.076923,12,15,0
MO_F_ER19_2016_04_10_ModuleDescription_description,12.162162,7,2,0
MO_H_SD36_2016_06_23_ModuleDescription_description,19.58042,17,11,0
MO_H_SD11_2016_04_25_ModuleDescription_description,17.54386,27,12,1
MO_H_AV18_2016_04_18_ModuleDescription_description,27.848101,10,11,1
MO_F_ER02_2016_04_04_ModuleDescription_description,13.953488,4,2,0
MO_F_SD24_2016_05_03_ModuleDescription_description,19.892473,18,18,1
MO_H_ER24_2016_04_15_ModuleDescription_description,30.625,24,23,2
MO_F_AV27_2016_05_14_ModuleDescription_description,19.902913,18,23,0
MO_F_SD22_2016_05_03_ModuleDescription_description,24.096386,13,5,2
MO_F_SD33_2016_06_22_ModuleDescription_description,41.618497,137,143,8
MO_F_AV09_2016_04_15_ModuleDescription_description,29.433962,37,40,1
MO_H_ER09_2016_04_07_ModuleDescription_description,14.615385,8,8,3
MO_F_AV25_2016_05_14_ModuleDescription_description,10.569106,9,3,1
MO_H_ER47_2017_03_31_ModuleDescription_description,36.563877,33,43,7
MO_H_SD13_2016_08_13_ModuleDescription_description,18.795181,44,34,0
MO_H_ER47_2017_01_27_ModuleDescription_description,35.885167,26,47,2
MO_F_ER08_2016_06_08_ModuleDescription_description,22.44898,22,11,0
MO_F_AV01_2016_04_08_ModuleDescription_description,14.285714,25,10,0
MO_H_ER40_2017_01_24_ModuleDescription_description,19.642857,3,8,0
MO_H_AV10_2016_04_15_ModuleDescription_description,12.765957,10,1,1
MO_H_AV24_2016_05_14_ModuleDescription_description,4.705882,2,2,0
MO_F_SD18_2016_05_02_ModuleDescription_description,16.071429,16,11,0
MO_F_ER08_2016_04_07_ModuleDescription_description,26.415094,28,13,1
MO_F_AV14_2016_04_18_ModuleDescription_description,48.4375,20,5,6
MO_H_ER48_2017_04_08_ModuleDescription_description,15.178571,8,8,1
MO_H_ER23_2016_04_14_ModuleDescription_description,23.780488,16,21,2
MO_H_AV22_2016_04_19_ModuleDescription_description,17.307692,17,9,1
MO_H_ER17_2016_04_08_ModuleDescription_description,20.754717,17,16,0
MO_F_SD28_2016_05_20_ModuleDescription_description,21.505376,16,24,0
MO_H_AV33_2016_06_06_ModuleDescription_description,21.969697,17,10,2
MO_F_AV26_2016_05_14_ModuleDescription_description,16.022099,17,10,2
MO_H_AV38_2016_06_10_ModuleDescription_description,24.0,10,8,0
MO_F_AV23_2016_04_19_ModuleDescription_description,26.506024,26,17,1
MO_F_SD32_2016_06_16_ModuleDescription_description,29.378531,22,26,4
MO_F_ER16_2016_04_08_ModuleDescription_description,23.75,8,11,0
MO_H_ER49_2017_06_08_ModuleDescription_description,32.989691,15,14,3
MO_F_ER02_2016_06_08_ModuleDescription_description,31.428571,4,7,0
MO_H_AV30_2016_06_05_ModuleDescription_description,20.0,8,19,1
MO_F_SD12_2016_04_25_ModuleDescription_description,35.044248,106,86,6
MO_H_SD25_2016_05_12_ModuleDescription_description,14.344262,21,13,1
MO_H_SD13_2016_04_25_ModuleDescription_description,15.16035,31,19,2
MO_F_SD38_2016_06_28_ModuleDescription_description,23.152709,25,21,1
MO_F_ER18_2016_04_08_ModuleDescription_description,10.927152,26,5,2
MO_F_ER06_2016_04_06_ModuleDescription_description,62.5,12,18,0
MO_F_ER22_2016_04_12_ModuleDescription_description,44.715447,20,34,1
MO_H_ER27_2016_04_18_ModuleDescription_description,11.764706,12,6,0
MO_H_ER40_2017_05_23_ModuleDescription_description,33.58209,16,27,2
MO_F_SD19_2016_05_02_ModuleDescription_description,26.436782,10,13,0
MO_F_ER10_2016_04_07_ModuleDescription_description,24.873096,28,20,1
MO_H_ER41_2017_01_24_ModuleDescription_description,9.55414,15,0,0
MO_H_AV22_2016_06_09_ModuleDescription_description,12.77533,22,6,1
MO_F_SD35_2016_06_23_ModuleDescription_description,37.78626,38,61,0
MO_H_SD07_2016_04_22_ModuleDescription_description,40.277778,15,13,1
MO_F_AV36_2016_06_07_ModuleDescription_description,41.078431,233,180,6
MO_H_ER41_2017_05_29_ModuleDescription_description,13.592233,11,3,0
MO_H_AV19_2016_04_18_ModuleDescription_description,37.5,14,10,3
MO_F_SD08_2016_04_22_ModuleDescription_description,14.96063,9,8,2
MO_F_ER26_2016_04_18_ModuleDescription_description,29.931973,19,25,0
MO_H_AV37_2016_06_08_ModuleDescription_description,17.117117,9,10,0
MO_H_ER09_2016_06_08_ModuleDescription_description,10.9375,7,6,1
MO_H_ER43_2017_01_24_ModuleDescription_description,20.353982,11,11,1
MO_F_AV06_2016_04_13_ModuleDescription_description,54.098361,11,22,0
MO_H_ER43_2017_05_23_ModuleDescription_description,34.972678,36,26,2
MO_F_AV17_2016_04_18_ModuleDescription_description,26.041667,12,13,0
MO_H_SD30_2016_05_21_ModuleDescription_description,23.684211,15,20,1
MO_F_AV21_2016_04_18_ModuleDescription_description,25.0,23,9,3
MO_H_ER49_2017_01_28_ModuleDescription_description,37.373737,19,14,4
