file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,52.136752,3,58,0
MO_F_ER19_2016_04_10_ModuleDescription_description,47.297297,6,28,1
MO_H_SD36_2016_06_23_ModuleDescription_description,48.251748,3,66,0
MO_H_SD11_2016_04_25_ModuleDescription_description,65.350877,7,141,1
MO_H_AV18_2016_04_18_ModuleDescription_description,40.506329,6,25,1
MO_F_ER02_2016_04_04_ModuleDescription_description,25.581395,4,6,1
MO_F_SD24_2016_05_03_ModuleDescription_description,63.978495,6,113,0
MO_H_ER24_2016_04_15_ModuleDescription_description,65.0,11,93,0
MO_F_AV27_2016_05_14_ModuleDescription_description,54.854369,15,97,1
MO_F_SD22_2016_05_03_ModuleDescription_description,72.289157,4,56,0
MO_F_SD33_2016_06_22_ModuleDescription_description,73.843931,33,477,1
MO_F_AV09_2016_04_15_ModuleDescription_description,62.264151,10,155,0
MO_H_ER09_2016_04_07_ModuleDescription_description,82.307692,5,102,0
MO_F_AV25_2016_05_14_ModuleDescription_description,44.715447,6,48,1
MO_H_ER47_2017_03_31_ModuleDescription_description,74.889868,15,155,0
MO_H_SD13_2016_08_13_ModuleDescription_description,61.686747,21,235,0
MO_H_ER47_2017_01_27_ModuleDescription_description,76.076555,5,150,4
MO_F_ER08_2016_06_08_ModuleDescription_description,61.904762,9,82,0
MO_F_AV01_2016_04_08_ModuleDescription_description,44.081633,13,94,1
MO_H_ER40_2017_01_24_ModuleDescription_description,39.285714,2,20,0
MO_H_AV10_2016_04_15_ModuleDescription_description,64.893617,1,60,0
MO_H_AV24_2016_05_14_ModuleDescription_description,56.470588,9,39,0
MO_F_SD18_2016_05_02_ModuleDescription_description,45.833333,5,70,2
MO_F_ER08_2016_04_07_ModuleDescription_description,49.056604,13,65,0
MO_F_AV14_2016_04_18_ModuleDescription_description,68.75,15,11,18
MO_H_ER48_2017_04_08_ModuleDescription_description,33.928571,13,25,0
MO_H_ER23_2016_04_14_ModuleDescription_description,51.829268,8,77,0
MO_H_AV22_2016_04_19_ModuleDescription_description,45.512821,30,38,3
MO_H_ER17_2016_04_08_ModuleDescription_description,72.955975,5,110,1
MO_F_SD28_2016_05_20_ModuleDescription_description,67.741935,11,114,1
MO_H_AV33_2016_06_06_ModuleDescription_description,82.575758,6,103,0
MO_F_AV26_2016_05_14_ModuleDescription_description,59.116022,5,92,10
MO_H_AV38_2016_06_10_ModuleDescription_description,54.666667,9,32,0
MO_F_AV23_2016_04_19_ModuleDescription_description,46.987952,8,69,1
MO_F_SD32_2016_06_16_ModuleDescription_description,61.016949,10,97,1
MO_F_ER16_2016_04_08_ModuleDescription_description,43.75,3,32,0
MO_H_ER49_2017_06_08_ModuleDescription_description,88.659794,7,79,0
MO_F_ER02_2016_06_08_ModuleDescription_description,68.571429,1,23,0
MO_H_AV30_2016_06_05_ModuleDescription_description,84.285714,2,115,1
MO_F_SD12_2016_04_25_ModuleDescription_description,61.238938,34,305,7
MO_H_SD25_2016_05_12_ModuleDescription_description,48.770492,37,82,0
MO_H_SD13_2016_04_25_ModuleDescription_description,65.597668,5,220,0
MO_F_SD38_2016_06_28_ModuleDescription_description,51.724138,30,75,0
MO_F_ER18_2016_04_08_ModuleDescription_description,58.940397,17,160,1
MO_F_ER06_2016_04_06_ModuleDescription_description,62.5,8,21,1
MO_F_ER22_2016_04_12_ModuleDescription_description,56.910569,8,62,0
MO_H_ER27_2016_04_18_ModuleDescription_description,47.058824,2,70,0
MO_H_ER40_2017_05_23_ModuleDescription_description,61.19403,10,71,1
MO_F_SD19_2016_05_02_ModuleDescription_description,50.574713,5,39,0
MO_F_ER10_2016_04_07_ModuleDescription_description,60.406091,9,110,0
MO_H_ER41_2017_01_24_ModuleDescription_description,63.057325,4,95,0
MO_H_AV22_2016_06_09_ModuleDescription_description,51.101322,27,86,3
MO_F_SD35_2016_06_23_ModuleDescription_description,79.389313,7,201,0
MO_H_SD07_2016_04_22_ModuleDescription_description,51.388889,9,27,1
MO_F_AV36_2016_06_07_ModuleDescription_description,73.039216,29,712,4
MO_H_ER41_2017_05_29_ModuleDescription_description,56.31068,3,55,0
MO_H_AV19_2016_04_18_ModuleDescription_description,77.777778,3,53,0
MO_F_SD08_2016_04_22_ModuleDescription_description,39.370079,6,43,1
MO_F_ER26_2016_04_18_ModuleDescription_description,71.428571,5,100,0
MO_H_AV37_2016_06_08_ModuleDescription_description,66.666667,2,71,1
MO_H_ER09_2016_06_08_ModuleDescription_description,64.0625,2,80,0
MO_H_ER43_2017_01_24_ModuleDescription_description,67.256637,6,70,0
MO_F_AV06_2016_04_13_ModuleDescription_description,34.42623,2,18,1
MO_H_ER43_2017_05_23_ModuleDescription_description,57.923497,21,80,5
MO_F_AV17_2016_04_18_ModuleDescription_description,79.166667,2,74,0
MO_H_SD30_2016_05_21_ModuleDescription_description,76.315789,9,107,0
MO_F_AV21_2016_04_18_ModuleDescription_description,65.0,14,77,0
MO_H_ER49_2017_01_28_ModuleDescription_description,65.656566,14,42,9
