file,WER,S,D,I
AEX-CAB000-02_L01.wav,62.711864,13,98,0
AEX-CAC000-02_L01.wav,59.090909,11,92,1
AEX-CAG000-01_L01.wav,63.636364,4,107,1
AEX-CLJ000-02_L01.wav,58.522727,3,99,1
AEX-CML000-01_L01.wav,68.181818,11,107,2
AEX-CSR000-01_L01.wav,57.627119,12,90,0
BEX-CDB000-01_L01.wav,58.757062,12,89,3
BEX-CEB000-01_L01.wav,63.068182,5,103,3
BEX-CHE000-01_L01.wav,61.016949,11,96,1
BEX-CKN000-01_L01.wav,55.367232,14,82,2
BEX-CMB000-01_L01.wav,55.932203,11,86,2
BEX-CNKN00-01_L01.wav,58.19209,18,80,5
