file,WER,S,D,I
PHO-000024-01_L01.wav,50.282486,61,28,0
PHO-000566-01_L01.wav,93.220339,143,22,0
PHO-000814-01_L01.wav,66.101695,89,26,2
PHO-001070-01_L01.wav,69.565217,61,26,9
PHO-001329-01_L01.wav,25.423729,31,13,1
PHO-001473-01_L01.wav,41.176471,37,11,1
PHO-001499-01_L01.wav,41.477273,48,23,2
PHO-001522-01_L01.wav,82.080925,95,46,1
PHO-001594-01_L01.wav,75.301205,73,51,1
PHO-001670-01_L01.wav,57.062147,70,30,1
PHO-001836-01_L01.wav,93.181818,126,36,2
PHO-307175-01_L01.wav,58.666667,47,36,5
