file,WER,S,D,I
PHO-000024-01_L01.wav,77.04918,15,126,0
PHO-000566-01_L01.wav,41.340782,37,34,3
PHO-000814-01_L01.wav,53.763441,28,72,0
PHO-001070-01_L01.wav,79.878049,34,95,2
PHO-001329-01_L01.wav,63.350785,9,112,0
PHO-001473-01_L01.wav,43.75,14,42,0
PHO-001499-01_L01.wav,67.391304,32,60,32
PHO-001522-01_L01.wav,64.8,52,110,0
PHO-001594-01_L01.wav,85.798817,22,121,2
PHO-001670-01_L01.wav,74.611399,23,121,0
PHO-001836-01_L01.wav,81.675393,33,123,0
PHO-307175-01_L01.wav,83.333333,18,132,0
