file,WER,S,D,I
MO_F_AV04_2016_04_12_ModuleDescription_description.wav,21.105528,15,24,3
MO_F_AV07_2016_04_13_ModuleDescription_description.wav,12.987013,10,17,3
MO_F_AV07_2016_06_07_ModuleDescription_description.wav,14.150943,18,10,2
MO_F_AV08_2016_04_13_ModuleDescription_description.wav,22.162162,12,24,5
MO_F_AV13_2016_04_18_ModuleDescription_description.wav,31.888545,10,90,3
MO_F_AV16_2016_04_18_ModuleDescription_description.wav,17.46988,10,13,6
MO_F_AV29_2016_05_25_ModuleDescription_description.wav,22.352941,6,11,2
MO_F_AV40_2016_06_11_ModuleDescription_description.wav,464.102564,56,1,305
MO_F_ER03_2016_04_05_ModuleDescription_description.wav,12.921348,10,3,10
MO_F_ER04_2016_04_05_ModuleDescription_description.wav,9.947644,5,7,7
MO_F_ER05_2016_04_06_ModuleDescription_description.wav,43.367347,24,61,0
MO_F_ER12_2016_04_07_ModuleDescription_description.wav,22.380952,17,19,11
MO_F_ER14_2016_04_08_ModuleDescription_description.wav,10.377358,7,0,4
MO_F_ER20_2016_04_11_ModuleDescription_description.wav,28.571429,23,49,2
MO_F_ER20_2016_06_08_ModuleDescription_description.wav,29.137529,53,38,34
MO_F_SD04_2016_04_15_ModuleDescription_description.wav,13.930348,11,4,13
MO_F_SD04_2016_08_22_ModuleDescription_description.wav,18.548387,10,34,2
MO_F_SD06_2016_04_18_ModuleDescription_description.wav,18.421053,7,7,7
MO_F_SD14_2016_04_25_ModuleDescription_description.wav,9.958506,9,9,6
MO_F_SD17_2016_05_02_ModuleDescription_description.wav,38.571429,9,97,2
MO_F_SD17_2016_05_03_ModuleDescription_description.wav,12.621359,5,7,1
MO_F_SD20_2016_05_02_ModuleDescription_description.wav,58.730159,0,69,5
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,22.222222,9,4,5
MO_H_AV03_2016_04_10_ModuleDescription_description.wav,13.780919,22,11,6
MO_H_AV03_2016_06_12_ModuleDescription_description.wav,13.690476,22,13,11
MO_H_AV12_2016_04_15_ModuleDescription_description.wav,43.604651,32,38,5
MO_H_AV34_2016_06_07_ModuleDescription_description.wav,8.888889,2,2,0
MO_H_AV39_2016_06_11_ModuleDescription_description.wav,67.857143,10,4,24
MO_H_ER07_2016_04_06_ModuleDescription_description.wav,26.168224,18,6,4
MO_H_ER11_2016_04_07_ModuleDescription_description.wav,4.285714,1,1,1
MO_H_ER13_2016_04_08_ModuleDescription_description.wav,26.582278,11,4,6
MO_H_ER15_2016_04_08_ModuleDescription_description.wav,23.076923,9,2,1
MO_H_ER21_2016_04_11_ModuleDescription_description.wav,18.807339,15,14,12
MO_H_ER25_2016_04_16_ModuleDescription_description.wav,20.125786,16,12,4
MO_H_ER42_2017_01_24_ModuleDescription_description.wav,40.0,9,0,3
MO_H_ER42_2017_03_31_ModuleDescription_description.wav,24.324324,6,0,3
MO_H_ER44_2017_01_26_ModuleDescription_description.wav,36.964981,31,61,3
MO_H_ER46_2017_03_31_ModuleDescription_description.wav,20.408163,15,8,7
MO_H_ER50_2017_05_29_ModuleDescription_description.wav,23.076923,7,8,3
MO_H_SD05_2016_08_22_ModuleDescription_description.wav,40.136054,14,44,1
MO_H_SD10_2016_04_22_ModuleDescription_description.wav,25.0,13,15,1
MO_H_SD10_2016_08_24_ModuleDescription_description.wav,28.275862,20,13,8
MO_H_SD16_2016_04_25_ModuleDescription_description.wav,40.883978,10,56,8
MO_H_SD26_2016_05_13_ModuleDescription_description.wav,53.571429,12,108,0
MO_H_SD27_2016_05_20_ModuleDescription_description.wav,82.45614,35,10,2
MO_H_SD29_2016_05_20_ModuleDescription_description.wav,29.565217,16,17,1
MO_H_SD31_2016_05_27_ModuleDescription_description.wav,33.838384,69,29,36
