file,WER,S,D,I
MO_F_AV01_2016_04_08_ModuleDescription_description.wav,6.530612,7,9,0
MO_F_AV06_2016_04_13_ModuleDescription_description.wav,34.482759,8,9,3
MO_F_AV09_2016_04_15_ModuleDescription_description.wav,49.429658,44,80,6
MO_F_AV14_2016_04_18_ModuleDescription_description.wav,62.5,25,9,6
MO_F_AV17_2016_04_18_ModuleDescription_description.wav,18.75,9,6,3
MO_F_AV21_2016_04_18_ModuleDescription_description.wav,26.428571,23,11,3
MO_F_AV23_2016_04_19_ModuleDescription_description.wav,23.636364,24,13,2
MO_F_AV25_2016_05_14_ModuleDescription_description.wav,11.382114,7,5,2
MO_F_AV26_2016_05_14_ModuleDescription_description.wav,12.154696,12,7,3
MO_F_AV27_2016_05_14_ModuleDescription_description.wav,12.195122,9,14,2
MO_F_AV36_2016_06_07_ModuleDescription_description.wav,45.196078,45,408,8
MO_F_ER02_2016_04_04_ModuleDescription_description.wav,27.906977,7,1,4
MO_F_ER02_2016_06_08_ModuleDescription_description.wav,38.235294,10,3,0
MO_F_ER06_2016_04_06_ModuleDescription_description.wav,32.608696,12,3,0
MO_F_ER08_2016_04_07_ModuleDescription_description.wav,19.620253,24,5,2
MO_F_ER08_2016_06_08_ModuleDescription_description.wav,13.013699,13,6,0
MO_F_ER10_2016_04_07_ModuleDescription_description.wav,19.28934,14,22,2
MO_F_ER16_2016_04_08_ModuleDescription_description.wav,21.25,8,9,0
MO_F_ER18_2016_04_08_ModuleDescription_description.wav,7.615894,13,7,3
MO_F_ER19_2016_04_10_ModuleDescription_description.wav,17.567568,12,1,0
MO_F_ER22_2016_04_12_ModuleDescription_description.wav,63.414634,28,47,3
MO_F_ER26_2016_04_18_ModuleDescription_description.wav,17.687075,11,14,1
MO_F_SD08_2016_04_22_ModuleDescription_description.wav,21.259843,13,6,8
MO_F_SD12_2016_04_25_ModuleDescription_description.wav,24.778761,62,60,18
MO_F_SD18_2016_05_02_ModuleDescription_description.wav,10.778443,7,8,3
MO_F_SD19_2016_05_02_ModuleDescription_description.wav,21.83908,6,13,0
MO_F_SD22_2016_05_03_ModuleDescription_description.wav,18.072289,7,2,6
MO_F_SD24_2016_05_03_ModuleDescription_description.wav,21.505376,11,25,4
MO_F_SD28_2016_05_20_ModuleDescription_description.wav,17.204301,13,14,5
MO_F_SD32_2016_06_16_ModuleDescription_description.wav,13.559322,15,5,4
MO_F_SD33_2016_06_22_ModuleDescription_description.wav,26.696833,89,65,23
MO_F_SD35_2016_06_23_ModuleDescription_description.wav,40.996169,13,93,1
MO_F_SD38_2016_06_28_ModuleDescription_description.wav,24.630542,26,23,1
MO_H_AV10_2016_04_15_ModuleDescription_description.wav,16.666667,9,3,3
MO_H_AV18_2016_04_18_ModuleDescription_description.wav,21.794872,8,6,3
MO_H_AV19_2016_04_18_ModuleDescription_description.wav,45.833333,21,6,6
MO_H_AV22_2016_04_19_ModuleDescription_description.wav,13.461538,8,13,0
MO_H_AV22_2016_06_09_ModuleDescription_description.wav,10.572687,10,8,6
MO_H_AV24_2016_05_14_ModuleDescription_description.wav,8.433735,3,3,1
MO_H_AV30_2016_06_05_ModuleDescription_description.wav,18.965517,8,12,2
MO_H_AV33_2016_06_06_ModuleDescription_description.wav,48.484848,9,50,5
MO_H_AV37_2016_06_08_ModuleDescription_description.wav,29.72973,7,25,1
MO_H_AV38_2016_06_10_ModuleDescription_description.wav,17.333333,10,3,0
MO_H_ER09_2016_04_07_ModuleDescription_description.wav,31.538462,4,36,1
MO_H_ER09_2016_06_08_ModuleDescription_description.wav,25.0,8,23,1
MO_H_ER17_2016_04_08_ModuleDescription_description.wav,17.610063,9,13,6
MO_H_ER23_2016_04_14_ModuleDescription_description.wav,24.390244,9,28,3
MO_H_ER24_2016_04_15_ModuleDescription_description.wav,25.0,16,21,3
MO_H_ER27_2016_04_18_ModuleDescription_description.wav,7.189542,4,2,5
MO_H_ER40_2017_01_24_ModuleDescription_description.wav,23.214286,4,8,1
MO_H_ER40_2017_05_23_ModuleDescription_description.wav,38.345865,10,38,3
MO_H_ER41_2017_01_24_ModuleDescription_description.wav,11.464968,15,2,1
MO_H_ER41_2017_05_29_ModuleDescription_description.wav,10.679612,8,2,1
MO_H_ER43_2017_01_24_ModuleDescription_description.wav,21.238938,14,6,4
MO_H_ER43_2017_05_23_ModuleDescription_description.wav,33.333333,20,38,3
MO_H_ER47_2017_01_27_ModuleDescription_description.wav,26.794258,21,20,15
MO_H_ER47_2017_03_31_ModuleDescription_description.wav,28.193833,20,30,14
MO_H_ER48_2017_01_28_ModuleDescription_description.wav,7.692308,3,3,3
MO_H_ER48_2017_04_08_ModuleDescription_description.wav,13.392857,8,5,2
MO_H_ER49_2017_01_28_ModuleDescription_description.wav,27.272727,10,5,12
MO_H_ER49_2017_06_08_ModuleDescription_description.wav,28.865979,12,8,8
MO_H_SD07_2016_04_22_ModuleDescription_description.wav,22.222222,8,7,1
MO_H_SD11_2016_04_25_ModuleDescription_description.wav,9.292035,15,2,4
MO_H_SD13_2016_04_25_ModuleDescription_description.wav,15.74344,19,32,3
MO_H_SD13_2016_08_13_ModuleDescription_description.wav,20.240964,20,62,2
MO_H_SD25_2016_05_12_ModuleDescription_description.wav,40.57377,19,78,2
MO_H_SD30_2016_05_21_ModuleDescription_description.wav,21.710526,8,10,15
MO_H_SD36_2016_06_23_ModuleDescription_description.wav,7.692308,6,5,0
