file,WER,S,D,I
PHO-000024-01_L01.wav,36.413043,53,12,2
PHO-000566-01_L01.wav,62.176166,81,24,15
PHO-000814-01_L01.wav,32.275132,44,14,3
PHO-001070-01_L01.wav,49.700599,44,25,14
PHO-001329-01_L01.wav,32.460733,35,22,5
PHO-001473-01_L01.wav,24.806202,19,12,1
PHO-001499-01_L01.wav,17.204301,19,12,1
PHO-001522-01_L01.wav,56.4,50,90,1
PHO-001594-01_L01.wav,72.781065,80,41,2
PHO-001670-01_L01.wav,45.098039,44,43,5
PHO-001836-01_L01.wav,78.010471,96,52,1
PHO-307175-01_L01.wav,45.054945,34,42,6
