file,WER,S,D,I
Rhap-D0002.wav,53.252033,58,463,3
Rhap-D0003.wav,59.397715,76,490,6
Rhap-D0004.wav,61.458333,61,642,5
Rhap-D0005.wav,68.05708,69,547,4
Rhap-D0006.wav,43.818466,69,481,10
Rhap-D0007.wav,62.411348,26,55,7
Rhap-D0008.wav,41.707718,44,188,22
Rhap-D0009.wav,70.567986,99,681,40
Rhap-D0017.wav,23.148148,8,17,0
Rhap-D0020.wav,38.834951,5,32,3
Rhap-D1001.wav,26.936027,67,85,88
Rhap-D1002.wav,45.1417,42,174,7
Rhap-D2001.wav,47.561589,130,810,6
Rhap-D2002.wav,53.259669,101,375,6
Rhap-D2003.wav,94.665665,11,1249,0
Rhap-D2004.wav,60.377358,49,431,0
Rhap-D2005.wav,41.07677,76,333,3
Rhap-D2006.wav,13.02521,18,9,4
Rhap-D2007.wav,69.469469,63,631,0
Rhap-D2008.wav,71.63017,60,1409,3
Rhap-D2009.wav,51.727542,68,448,8
Rhap-D2010.wav,45.479963,82,395,11
Rhap-D2011.wav,64.69428,46,608,2
Rhap-D2012.wav,64.410256,56,563,9
Rhap-D2013.wav,83.4375,18,516,0
Rhap-M0001.wav,29.19708,20,20,0
Rhap-M0002.wav,33.838384,15,47,5
Rhap-M0003.wav,68.84273,9,219,4
Rhap-M0004.wav,17.777778,5,3,0
Rhap-M0005.wav,49.593496,5,52,4
Rhap-M0006.wav,63.888889,6,63,0
Rhap-M0007.wav,29.714286,13,36,3
Rhap-M0008.wav,20.37037,1,7,3
Rhap-M0009.wav,60.096154,14,105,6
Rhap-M0010.wav,22.580645,7,6,1
Rhap-M0011.wav,44.654088,15,56,0
Rhap-M0012.wav,35.416667,8,5,4
Rhap-M0013.wav,50.568182,7,81,1
Rhap-M0014.wav,36.363636,10,8,10
Rhap-M0015.wav,59.493671,10,36,1
Rhap-M0016.wav,44.117647,11,91,3
Rhap-M0018.wav,30.894309,26,38,12
Rhap-M0019.wav,50.531915,9,85,1
Rhap-M0021.wav,21.83908,14,19,5
Rhap-M0022.wav,22.272727,13,33,3
Rhap-M0023.wav,40.0,24,103,1
Rhap-M0024.wav,48.854962,18,46,0
Rhap-M1001.wav,49.479167,21,165,4
Rhap-M1003.wav,36.868064,68,229,2
Rhap-M2001.wav,4.089219,17,5,0
Rhap-M2002.wav,57.295646,72,676,2
Rhap-M2003.wav,7.438017,30,15,9
Rhap-M2004.wav,11.949153,63,4,74
Rhap-M2005.wav,65.902579,21,208,1
