file,WER,S,D,I
AEX-CAB000-02_L01.wav,69.491525,2,121,0
AEX-CAC000-02_L01.wav,64.171123,6,114,0
AEX-CAG000-01_L01.wav,55.05618,6,89,3
AEX-CLJ000-02_L01.wav,59.459459,2,108,0
AEX-CML000-01_L01.wav,60.674157,18,90,0
AEX-CSR000-01_L01.wav,57.222222,13,90,0
BEX-CDB000-01_L01.wav,66.480447,6,113,0
BEX-CEB000-01_L01.wav,56.043956,8,94,0
BEX-CHE000-01_L01.wav,59.887006,18,88,0
BEX-CKN000-01_L01.wav,51.955307,10,83,0
BEX-CMB000-01_L01.wav,52.747253,14,82,0
BEX-CNKN00-01_L01.wav,67.213115,8,115,0
