file,WER,S,D,I
PHO-000024-01_L01.wav,68.361582,20,98,3
PHO-000566-01_L01.wav,33.333333,32,25,2
PHO-000814-01_L01.wav,62.146893,15,93,2
PHO-001070-01_L01.wav,65.217391,35,52,3
PHO-001329-01_L01.wav,66.666667,3,113,2
PHO-001473-01_L01.wav,55.462185,20,21,25
PHO-001499-01_L01.wav,51.704545,29,33,29
PHO-001522-01_L01.wav,42.196532,49,17,7
PHO-001594-01_L01.wav,80.120482,33,96,4
PHO-001670-01_L01.wav,59.887006,27,79,0
PHO-001836-01_L01.wav,76.136364,55,77,2
PHO-307175-01_L01.wav,75.333333,45,66,2
