file,WER,S,D,I
PHO-000024-01_L01.wav,32.768362,48,10,0
PHO-000566-01_L01.wav,47.567568,65,12,11
PHO-000814-01_L01.wav,29.378531,43,7,2
PHO-001070-01_L01.wav,44.927536,42,8,12
PHO-001329-01_L01.wav,18.079096,17,12,3
PHO-001473-01_L01.wav,24.369748,24,3,2
PHO-001499-01_L01.wav,19.318182,29,3,2
PHO-001522-01_L01.wav,51.445087,50,31,8
PHO-001594-01_L01.wav,72.891566,91,27,3
PHO-001670-01_L01.wav,39.548023,56,13,1
PHO-001836-01_L01.wav,73.863636,74,53,3
PHO-307175-01_L01.wav,49.333333,32,29,13
