file,WER,S,D,I
MO_H_SD29_2016_05_20_ModuleDescription_description,43.965517,28,21,2
MO_H_ER21_2016_04_11_ModuleDescription_description,34.090909,18,50,7
MO_F_SD22_2016_05_03_ModuleDescription_description,28.395062,11,6,6
MO_H_ER50_2017_05_29_ModuleDescription_description,30.769231,7,16,1
MO_F_ER05_2016_04_06_ModuleDescription_description,52.791878,13,91,0
MO_F_ER20_2016_04_11_ModuleDescription_description,50.19305,18,107,5
MO_H_ER25_2016_04_16_ModuleDescription_description,21.383648,11,21,2
MO_H_ER44_2017_01_26_ModuleDescription_description,50.0,10,118,1
MO_H_AV39_2016_06_11_ModuleDescription_description,79.120879,4,68,0
MO_H_SD27_2016_05_20_ModuleDescription_description,84.90566,37,6,2
MO_H_AV03_2016_04_10_ModuleDescription_description,19.928826,18,33,5
MO_F_AV07_2016_06_07_ModuleDescription_description,17.45283,18,15,4
MO_F_SD06_2016_04_18_ModuleDescription_description,21.238938,11,8,5
MO_F_SD14_2016_04_25_ModuleDescription_description,37.096774,12,70,10
MO_F_ER12_2016_04_07_ModuleDescription_description,27.619048,15,36,7
MO_F_ER04_2016_04_05_ModuleDescription_description,23.036649,4,35,5
MO_F_AV13_2016_04_18_ModuleDescription_description,31.692308,16,86,1
MO_H_SD31_2016_05_27_ModuleDescription_description,35.858586,88,31,23
MO_H_SD05_2016_08_22_ModuleDescription_description,39.333333,13,46,0
MO_H_SD16_2016_04_25_ModuleDescription_description,29.834254,8,43,3
MO_F_ER14_2016_04_08_ModuleDescription_description,15.384615,7,4,5
MO_H_ER46_2017_03_31_ModuleDescription_description,21.917808,16,12,4
MO_H_AV34_2016_06_07_ModuleDescription_description,11.111111,3,2,0
MO_H_ER42_2017_01_24_ModuleDescription_description,39.285714,9,0,2
MO_F_AV07_2016_04_13_ModuleDescription_description,15.217391,12,18,5
MO_H_ER11_2016_04_07_ModuleDescription_description,7.142857,1,1,3
MO_F_AV04_2016_04_12_ModuleDescription_description,28.717949,11,39,6
MO_F_ER20_2016_06_08_ModuleDescription_description,37.268519,15,145,1
MO_F_SD04_2016_04_15_ModuleDescription_description,17.961165,12,22,3
MO_H_ER13_2016_04_08_ModuleDescription_description,32.911392,13,6,7
MO_F_AV16_2016_04_18_ModuleDescription_description,19.277108,12,14,6
MO_F_SD17_2016_05_03_ModuleDescription_description,10.679612,3,7,1
MO_F_AV40_2016_06_11_ModuleDescription_description,30.067568,39,30,20
MO_H_AV03_2016_06_12_ModuleDescription_description,15.223881,24,22,5
MO_F_SD17_2016_05_02_ModuleDescription_description,51.22807,20,121,5
MO_F_AV29_2016_05_25_ModuleDescription_description,30.588235,2,23,1
MO_H_ER15_2016_04_08_ModuleDescription_description,67.307692,5,30,0
MO_H_SD10_2016_08_24_ModuleDescription_description,34.027778,20,23,6
MO_H_AV12_2016_04_15_ModuleDescription_description,70.348837,7,114,0
MO_H_SD10_2016_04_22_ModuleDescription_description,29.565217,15,15,4
MO_F_SD04_2016_08_22_ModuleDescription_description,36.290323,13,76,1
MO_H_ER42_2017_03_31_ModuleDescription_description,27.027027,7,1,2
MO_F_ER03_2016_04_05_ModuleDescription_description,9.039548,9,1,6
MO_H_ER07_2016_04_06_ModuleDescription_description,54.867257,9,52,1
MO_F_SD20_2016_05_02_ModuleDescription_description,59.52381,1,70,4
MO_F_AV08_2016_04_13_ModuleDescription_description,25.405405,9,34,4
MO_H_SD26_2016_05_13_ModuleDescription_description,62.5,8,132,0
