file,WER,S,D,I
MO_H_ER48_2017_01_28_ModuleDescription_description,23.076923,7,19,1
MO_F_ER19_2016_04_10_ModuleDescription_description,21.621622,14,2,0
MO_H_SD36_2016_06_23_ModuleDescription_description,18.181818,19,7,0
MO_H_SD11_2016_04_25_ModuleDescription_description,19.026549,15,22,6
MO_H_AV18_2016_04_18_ModuleDescription_description,19.230769,10,3,2
MO_F_ER02_2016_04_04_ModuleDescription_description,32.55814,9,1,4
MO_F_SD24_2016_05_03_ModuleDescription_description,40.860215,19,57,0
MO_H_ER24_2016_04_15_ModuleDescription_description,40.0,24,37,3
MO_F_AV27_2016_05_14_ModuleDescription_description,21.95122,16,27,2
MO_F_SD22_2016_05_03_ModuleDescription_description,24.096386,12,5,3
MO_F_SD33_2016_06_22_ModuleDescription_description,41.47813,92,153,30
MO_F_AV09_2016_04_15_ModuleDescription_description,69.581749,5,177,1
MO_H_ER09_2016_04_07_ModuleDescription_description,33.846154,8,34,2
MO_F_AV25_2016_05_14_ModuleDescription_description,10.569106,8,4,1
MO_H_ER47_2017_03_31_ModuleDescription_description,32.599119,24,31,19
MO_H_SD13_2016_08_13_ModuleDescription_description,32.289157,24,105,5
MO_H_ER47_2017_01_27_ModuleDescription_description,28.229665,28,20,11
MO_F_ER08_2016_06_08_ModuleDescription_description,21.232877,19,11,1
MO_F_AV01_2016_04_08_ModuleDescription_description,8.163265,12,8,0
MO_H_ER40_2017_01_24_ModuleDescription_description,26.785714,4,9,2
MO_H_AV10_2016_04_15_ModuleDescription_description,13.333333,9,3,0
MO_H_AV24_2016_05_14_ModuleDescription_description,13.253012,5,5,1
MO_F_SD18_2016_05_02_ModuleDescription_description,16.766467,9,15,4
MO_F_ER08_2016_04_07_ModuleDescription_description,25.316456,25,12,3
MO_F_AV14_2016_04_18_ModuleDescription_description,65.625,28,11,3
MO_H_ER48_2017_04_08_ModuleDescription_description,12.5,8,4,2
MO_H_ER23_2016_04_14_ModuleDescription_description,46.95122,5,71,1
MO_H_AV22_2016_04_19_ModuleDescription_description,28.846154,17,26,2
MO_H_ER17_2016_04_08_ModuleDescription_description,25.786164,15,24,2
MO_F_SD28_2016_05_20_ModuleDescription_description,20.967742,14,21,4
MO_H_AV33_2016_06_06_ModuleDescription_description,48.484848,12,49,3
MO_F_AV26_2016_05_14_ModuleDescription_description,16.574586,15,12,3
MO_H_AV38_2016_06_10_ModuleDescription_description,28.0,11,9,1
MO_F_AV23_2016_04_19_ModuleDescription_description,23.636364,23,14,2
MO_F_SD32_2016_06_16_ModuleDescription_description,26.553672,24,20,3
MO_F_ER16_2016_04_08_ModuleDescription_description,21.25,7,10,0
MO_H_ER49_2017_06_08_ModuleDescription_description,41.237113,10,19,11
MO_F_ER02_2016_06_08_ModuleDescription_description,38.235294,9,4,0
MO_H_AV30_2016_06_05_ModuleDescription_description,21.551724,11,12,2
MO_F_SD12_2016_04_25_ModuleDescription_description,33.982301,67,112,13
MO_H_SD25_2016_05_12_ModuleDescription_description,56.147541,8,129,0
MO_H_SD13_2016_04_25_ModuleDescription_description,25.364431,25,60,2
MO_F_SD38_2016_06_28_ModuleDescription_description,33.004926,19,48,0
MO_F_ER18_2016_04_08_ModuleDescription_description,6.291391,13,5,1
MO_F_ER06_2016_04_06_ModuleDescription_description,45.652174,15,6,0
MO_F_ER22_2016_04_12_ModuleDescription_description,60.97561,27,46,2
MO_H_ER27_2016_04_18_ModuleDescription_description,11.111111,4,11,2
MO_H_ER40_2017_05_23_ModuleDescription_description,49.62406,7,59,0
MO_F_SD19_2016_05_02_ModuleDescription_description,14.942529,1,12,0
MO_F_ER10_2016_04_07_ModuleDescription_description,44.162437,30,43,14
MO_H_ER41_2017_01_24_ModuleDescription_description,10.191083,13,2,1
MO_H_AV22_2016_06_09_ModuleDescription_description,18.061674,23,13,5
MO_F_SD35_2016_06_23_ModuleDescription_description,52.10728,21,115,0
MO_H_SD07_2016_04_22_ModuleDescription_description,41.666667,10,19,1
MO_F_AV36_2016_06_07_ModuleDescription_description,61.960784,48,583,1
MO_H_ER41_2017_05_29_ModuleDescription_description,6.796117,5,1,1
MO_H_AV19_2016_04_18_ModuleDescription_description,54.166667,27,8,4
MO_F_SD08_2016_04_22_ModuleDescription_description,23.622047,14,7,9
MO_F_ER26_2016_04_18_ModuleDescription_description,20.408163,10,20,0
MO_H_AV37_2016_06_08_ModuleDescription_description,57.657658,3,61,0
MO_H_ER09_2016_06_08_ModuleDescription_description,69.53125,4,85,0
MO_H_ER43_2017_01_24_ModuleDescription_description,38.053097,10,32,1
MO_F_AV06_2016_04_13_ModuleDescription_description,32.758621,5,10,4
MO_H_ER43_2017_05_23_ModuleDescription_description,39.89071,24,45,4
MO_F_AV17_2016_04_18_ModuleDescription_description,14.583333,8,5,1
MO_H_SD30_2016_05_21_ModuleDescription_description,38.815789,11,31,17
MO_F_AV21_2016_04_18_ModuleDescription_description,30.714286,18,22,3
MO_H_ER49_2017_01_28_ModuleDescription_description,24.242424,9,3,12
